C02-1122 ==> H01-1043:0.9578, C04-1174:0.9563, W02-1608:0.9258, I08-2110:0.9224, P09-2052:0.8665, N06-1023:0.8437, I05-1005:0.8289, P06-1022:0.7841, D07-1032:0.7799, P02-1028:0.7798
P12-3025 ==> C10-2115:0.9925, P13-1119:0.9918, C08-3006:0.9628, W03-1611:0.9618, L08-1402:0.9540, C04-1184:0.9524, D14-1140:0.9469, J10-4005:0.9392, W03-1606:0.9353, N03-2013:0.9189
W01-1405 ==> W05-0835:0.9210, W02-1405:0.9108, N07-2015:0.9104, W08-0315:0.9095, N09-1013:0.9089, P06-1090:0.9059, I05-1042:0.9055, P06-2107:0.9050, E14-4034:0.9047, W12-6217:0.9030
C14-1139 ==> L08-1304:0.9415, W06-3804:0.9350, D09-1027:0.9257, E14-3011:0.9246, D10-1036:0.9206, S14-2037:0.9202, S10-1034:0.9182, W08-1404:0.9173, W14-5411:0.9163, S10-1040:0.9132
I05-3005 ==> I08-7003:0.9199, W06-0104:0.9046, I08-4021:0.9026, N06-1041:0.8873, C08-1026:0.8538, C10-2016:0.8294, P09-1057:0.8219, W04-3236:0.8139, W09-1907:0.8087, I08-4024:0.8081
D14-1177 ==> W14-3358:0.8248, P14-1059:0.8185, P11-2083:0.8115, S13-2030:0.7983, W07-2070:0.7931, S14-2016:0.7930, W13-2501:0.7925, W14-1016:0.7822, D13-1179:0.7791, E12-1039:0.7775
W02-0601 ==> W05-0503:0.9871, W05-0504:0.9835, W02-0605:0.9716, W03-2907:0.9676, W06-3205:0.9662, W04-0105:0.9601, W06-3210:0.9583, E14-2006:0.9549, W02-0602:0.9541, I05-1009:0.9404
C08-2029 ==> D07-1011:0.9780, W08-1138:0.9770, W06-1410:0.9770, L08-1090:0.9770, W06-1409:0.9766, W10-4221:0.9764, W06-1420:0.9758, W00-1416:0.9756, W09-0634:0.9755, W10-1618:0.9754
W12-1012 ==> P06-2071:0.9071, W06-0601:0.9043, C04-1092:0.8919, W08-1910:0.8903, H05-1123:0.8876, C02-1144:0.8721, S12-1014:0.8343, D09-1097:0.7929, L08-1077:0.7757, N10-1125:0.7745
D14-1216 ==> W14-2304:0.9427, S13-2020:0.9422, N10-1039:0.9303, W10-1822:0.9282, J09-2001:0.9229, D14-1189:0.9204, I05-1050:0.9198, D14-1145:0.9168, E09-1086:0.9157, W06-2407:0.9156
W02-1704 ==> C02-2027:0.9939, C04-1061:0.9911, W03-0909:0.9884, W06-2709:0.9849, C14-2013:0.9843, N03-2011:0.9842, W04-0213:0.9760, W13-2313:0.9457, W05-1610:0.9418, W07-1525:0.9391
W14-3359 ==> W08-0316:0.9366, L08-1485:0.9337, P13-1126:0.9292, W10-1731:0.9286, D14-1062:0.9281, E14-1003:0.9274, P13-2068:0.9274, W14-3331:0.9274, N13-1114:0.9266, D13-1082:0.9255
W09-2804 ==> N06-2017:0.9311, P05-1018:0.8897, W08-0127:0.8667, L08-1389:0.8653, E14-4046:0.8645, W11-1722:0.8626, W05-1621:0.8618, W12-2606:0.8555, D12-1036:0.8544, W14-4408:0.8525
W03-0418 ==> N04-1015:0.9243, P14-2099:0.8776, W02-1017:0.8444, W14-3202:0.8411, N06-2003:0.8396, W14-3415:0.8393, W10-1109:0.8371, P05-1046:0.8344, S14-2142:0.8187, P11-1153:0.8182
W09-3811 ==> W09-3824:0.9403, J12-3006:0.9301, W04-0812:0.9265, C10-2148:0.9183, W13-1912:0.9176, W09-3825:0.9160, C10-2129:0.9129, W04-1508:0.9120, E12-2012:0.9088, D07-1120:0.9086
W14-2603 ==> L08-1088:0.9061, W06-1706:0.9039, W10-1608:0.8987, W14-3704:0.8962, S13-2092:0.8946, W11-1702:0.8944, C14-1064:0.8914, S14-2028:0.8904, W14-4105:0.8877, S14-2099:0.8873
S14-1004 ==> C08-1126:0.9733, L08-1275:0.9666, W10-1610:0.9571, D14-1031:0.9567, W09-0308:0.9549, N12-2007:0.9531, L08-1323:0.9447, W14-4707:0.9335, W14-5814:0.9316, W14-4332:0.9269
N03-5006 ==> W07-2108:0.9578, W09-1302:0.9463, W00-0503:0.9258, W06-2107:0.9255, S10-1076:0.9134, W10-1920:0.9082, L08-1407:0.9077, W02-0209:0.9072, H01-1016:0.9047, J09-4007:0.9020
W03-2007 ==> W02-1703:0.9697, W09-0602:0.9546, W08-0508:0.9509, P06-2116:0.9507, C10-2019:0.9417, J01-3004:0.9396, W07-0210:0.9381, W06-2801:0.9372, J03-2003:0.9103, A00-1017:0.9065
J09-2001 ==> I05-1050:0.9761, W04-2118:0.9687, W14-4507:0.9593, D11-1093:0.9571, W06-1205:0.9553, W07-1102:0.9550, C04-1124:0.9535, W11-0806:0.9530, D14-1189:0.9525, P07-2033:0.9518
D10-1082 ==> P11-1139:0.9343, P13-2110:0.9114, C08-1049:0.9100, P13-2031:0.9047, P13-1075:0.9034, P12-1025:0.8976, P08-1102:0.8967, P09-1058:0.8950, D13-1062:0.8914, E14-1018:0.8902
I05-1080 ==> W09-2401:0.9366, S10-1088:0.9267, W11-0128:0.9264, L08-1551:0.9242, W10-3301:0.9203, S10-1013:0.9197, W07-2059:0.9196, W07-2068:0.9163, S10-1094:0.9114, P10-1155:0.9110
H05-1024 ==> C08-2026:0.9222, W13-0807:0.9209, W09-2308:0.9200, P06-1123:0.9114, W06-3107:0.9063, W05-0812:0.9059, C04-1006:0.9023, P06-2112:0.8953, W09-2303:0.8940, N10-1065:0.8880
P03-1058 ==> W04-2807:0.9631, W04-0811:0.8882, W02-0805:0.8728, W00-0802:0.8648, W07-1508:0.8343, L08-1339:0.8198, P02-1044:0.8181, W03-0406:0.8160, W02-1006:0.7992, W04-0852:0.7813
S12-1009 ==> W14-1502:0.8078, W09-0215:0.7909, W06-0205:0.7877, I05-1025:0.7868, W07-2106:0.7854, W04-1002:0.7844, P14-2049:0.7756, D14-1047:0.7735, D07-1059:0.7714, W10-2806:0.7709
P09-2086 ==> W14-3328:0.9346, D13-1023:0.9329, D10-1026:0.9278, W14-3331:0.9235, P08-1058:0.9154, N13-1114:0.9094, W12-3145:0.9090, J12-3007:0.9089, P14-1075:0.9067, W10-0504:0.9065
J11-3004 ==> P11-2060:0.9212, S14-2082:0.9207, S14-2081:0.9154, D11-1114:0.9146, P14-2107:0.9136, C14-1026:0.9135, D07-1102:0.9127, P13-2111:0.9086, C10-1102:0.9057, D14-1109:0.9004
W14-2402 ==> W11-1301:0.9644, W09-0215:0.9551, W06-2907:0.9355, W11-2507:0.9349, W09-1109:0.9299, W14-5418:0.9267, S14-2024:0.9253, C14-1097:0.9243, D14-1111:0.9234, W12-1008:0.9218
D08-1099 ==> N07-1066:0.9937, C10-2053:0.9932, W04-0506:0.9893, W04-0840:0.9862, W04-2508:0.9806, W06-1910:0.9789, P06-1113:0.9696, N03-1007:0.9679, W04-0810:0.9674, W03-1122:0.9627
W10-3406 ==> W07-2081:0.9647, P08-1052:0.9565, S10-1052:0.9514, S13-2028:0.9490, W07-2084:0.9403, S10-1051:0.9395, W07-2049:0.9374, W07-2045:0.9349, S10-1050:0.9319, W07-2085:0.9275
H05-1002 ==> E03-1057:0.9881, E03-2004:0.9859, P01-1036:0.9657, P05-2020:0.9213, P00-1023:0.8975, W04-1911:0.8747, W06-1612:0.8729, W06-2717:0.8585, W04-1502:0.8427, W06-2112:0.8426
D09-1054 ==> C04-1079:0.9393, W11-0503:0.9337, P05-1037:0.9228, W10-2603:0.9071, N04-4027:0.9057, H05-2003:0.9008, P12-1058:0.8872, P07-1127:0.8863, P08-1054:0.8859, W10-0716:0.8849
C14-1009 ==> W13-3524:0.9065, W13-2707:0.9018, S14-2148:0.9010, W06-0302:0.8975, W06-1640:0.8861, P12-2013:0.8830, D12-1122:0.8794, P14-1030:0.8750, W12-0413:0.8737, D07-1114:0.8651
N13-3006 ==> P03-1061:0.9451, C00-1004:0.9399, L08-1535:0.9395, C02-2019:0.9297, E09-2016:0.9266, P07-2056:0.9263, W04-3230:0.9154, C10-2040:0.9087, C14-2019:0.9035, I08-3015:0.8717
P06-1134 ==> P08-2004:0.9344, P07-1054:0.9291, N09-2010:0.9181, C10-1020:0.9162, C08-1104:0.9046, W14-2625:0.9030, N10-1054:0.8969, C10-1134:0.8912, S13-1042:0.8875, E09-1046:0.8808
W10-3602 ==> D08-1077:0.9829, W13-2258:0.9262, P09-1111:0.9117, P13-1156:0.9087, W14-4002:0.9029, C14-1108:0.9019, W07-0413:0.9015, W12-3125:0.8973, C10-1056:0.8953, W11-1009:0.8950
I05-1055 ==> W03-2804:0.9309, W04-2203:0.9259, N07-2013:0.9241, I05-2042:0.9165, L08-1147:0.9148, N04-4003:0.9145, N03-2013:0.9105, E03-1010:0.9006, W06-1112:0.8907, D14-1140:0.8858
W07-2089 ==> W07-2075:0.9331, W11-1413:0.9142, P10-1138:0.9024, S10-1081:0.8928, N10-1088:0.8870, S13-2037:0.8833, S13-2049:0.8735, N07-1017:0.8727, W10-4173:0.8674, N12-1051:0.8651
D11-1019 ==> W11-2143:0.9496, W11-2160:0.9457, N13-1029:0.9439, D09-1108:0.9389, P11-3007:0.9377, D14-1063:0.9354, D10-1043:0.9352, W12-0802:0.9348, P11-1128:0.9328, W06-3106:0.9321
P09-4008 ==> W09-3539:0.9511, W11-2134:0.9491, L08-1325:0.9441, W09-3518:0.9382, W10-2708:0.9374, E99-1031:0.9357, W14-3903:0.9355, W04-2113:0.9343, N07-2017:0.9335, W09-3109:0.9329
I05-2043 ==> P13-2054:0.9681, W07-1702:0.9667, C04-1175:0.9660, W09-3412:0.9658, C00-1038:0.9655, P07-2024:0.9647, E06-2010:0.9646, W10-4231:0.9642, W07-0807:0.9640, H05-2008:0.9637
I08-3007 ==> C10-1092:0.9458, W01-1506:0.9394, W11-2037:0.9382, L08-1237:0.9382, W05-0502:0.9377, P05-3023:0.9374, W00-0731:0.9373, W03-2906:0.9372, P06-3013:0.9371, W01-0702:0.9367
N06-2024 ==> I08-4016:0.9154, W06-0130:0.9082, C14-2019:0.8887, I08-4023:0.8854, W06-0116:0.8779, P06-1061:0.8687, W09-2208:0.8683, S10-1055:0.8592, H05-1056:0.8591, W10-4113:0.8586
N13-1087 ==> W06-1645:0.9858, H05-1061:0.9231, W05-1004:0.8462, P06-1081:0.8439, L08-1292:0.8113, P07-1112:0.8063, P09-1098:0.7945, P06-1142:0.7928, I05-4010:0.7909, P05-3009:0.7904
E03-1025 ==> W04-2005:0.9580, W06-2302:0.9517, W04-0913:0.9156, N03-3006:0.8936, W06-0802:0.8270, C02-1121:0.8008, P03-1015:0.7962, C04-1123:0.7916, C02-1118:0.7853, P07-3003:0.7810
P06-1060 ==> P06-2060:0.9294, H05-1048:0.9270, W11-1921:0.9109, W07-0804:0.9088, P05-2005:0.9045, W06-1671:0.9011, I08-4004:0.8891, W10-4226:0.8720, I08-1057:0.8719, S10-1018:0.8704
L08-1451 ==> W12-1001:0.9570, W11-2609:0.9459, W13-4018:0.9414, P07-1129:0.9399, W02-0220:0.9397, C02-1062:0.9385, W02-1107:0.9385, E03-1028:0.9383, J99-4002:0.9379, C02-1100:0.9363
N06-1008 ==> P07-1057:0.9417, E03-1061:0.9298, N06-1007:0.9238, D12-1018:0.9215, W05-1207:0.9064, D09-1122:0.9047, P07-2036:0.8917, I08-1070:0.8900, P13-2016:0.8703, C08-1107:0.8681
L08-1368 ==> W09-0427:0.9209, W07-0409:0.9207, W05-0827:0.9134, W13-0802:0.9108, W12-6216:0.9091, W08-0314:0.9065, W13-2218:0.9057, P11-1130:0.9052, W10-1604:0.9030, P10-1153:0.8996
W13-2301 ==> N10-1105:0.8839, L08-1241:0.8772, N13-1049:0.8732, P12-2035:0.8732, W14-5312:0.8564, W12-6203:0.8558, P07-1029:0.8537, P06-1087:0.8531, W09-0804:0.8529, L08-1176:0.8528
J10-2003 ==> I08-1055:0.9682, E06-3005:0.9019, L08-1226:0.8413, W07-1513:0.8306, I08-5010:0.8296, W05-0306:0.8259, P13-1170:0.8039, N06-3009:0.8031, W05-0634:0.7995, E12-1070:0.7988
I08-6001 ==> C08-1007:0.9792, W06-1009:0.9761, N09-2007:0.9742, P07-1110:0.9563, N10-1070:0.9498, C08-1017:0.9493, L08-1582:0.9292, J05-4003:0.9273, I08-2104:0.9049, W02-1037:0.9016
D14-1114 ==> P12-1059:0.9535, I08-4004:0.8878, P09-1049:0.8833, C14-1030:0.8831, W09-1703:0.8674, D11-1011:0.8617, L08-1309:0.8615, D09-1099:0.8595, C10-1095:0.8593, P10-1067:0.8532
W07-0310 ==> W07-0308:0.9997, W03-0810:0.7035, W04-2313:0.6939, W09-3901:0.6927, W14-3004:0.6919, I08-5008:0.6891, W10-1103:0.6886, P06-1030:0.6844, W10-2606:0.6833, W99-0213:0.6832
W10-1403 ==> W13-4911:0.9182, W10-1411:0.9097, P13-2107:0.9082, W13-4908:0.9059, W13-2320:0.8990, W09-3812:0.8990, L08-1356:0.8952, C08-1095:0.8942, N10-1093:0.8926, W06-1517:0.8920
W10-2506 ==> P09-1067:0.9286, E12-1013:0.9178, C10-1009:0.9107, P09-1064:0.9088, P13-2063:0.9084, N06-3004:0.9057, C14-1107:0.9034, C10-2154:0.9012, N09-2003:0.9001, N10-1139:0.8980
W07-1607 ==> P11-1019:0.9723, C08-1022:0.9517, P11-1093:0.9171, W12-2006:0.9144, W13-1731:0.9129, W10-2107:0.9124, W13-3610:0.9108, W12-2028:0.9100, W13-3617:0.9061, W12-0906:0.9056
N07-1032 ==> H05-1050:0.9190, D09-1142:0.8365, N13-1042:0.8054, W04-2603:0.7929, N12-1086:0.7900, N03-1006:0.7872, P08-1056:0.7872, I08-1045:0.7843, P05-1001:0.7802, S14-2023:0.7784
W14-4424 ==> W11-2706:0.9016, C10-2119:0.8895, P12-1052:0.8760, D09-1043:0.8716, D09-1126:0.8664, C10-2051:0.8655, P13-2107:0.8644, C08-1038:0.8518, D12-1023:0.8517, S14-2064:0.8515
W07-1007 ==> W14-1202:0.9524, W09-3102:0.9138, N03-2024:0.8778, J10-2002:0.8506, W08-2140:0.8489, E09-1027:0.8312, N04-3001:0.8308, L08-1601:0.8253, W14-4812:0.8211, P06-1144:0.8205
P14-1055 ==> W13-1611:0.8019, W09-1903:0.8006, W11-0308:0.7970, W10-0210:0.7935, P07-2040:0.7934, W10-0105:0.7886, W12-3711:0.7863, S13-2069:0.7816, D09-1061:0.7811, W14-2621:0.7799
W07-1202 ==> C14-1057:0.9023, P12-1052:0.9014, S10-1060:0.8882, S14-2144:0.8834, W14-2406:0.8815, S14-1014:0.8809, I05-1018:0.8795, C10-2051:0.8791, W08-2102:0.8741, D11-1115:0.8732
W06-2903 ==> W06-1636:0.9646, E14-4032:0.9532, S10-1021:0.9505, P11-4015:0.9349, W10-1406:0.9200, S12-1024:0.9196, D13-1195:0.9161, W05-0211:0.9155, P12-1024:0.9080, W13-3507:0.8980
L08-1608 ==> D09-1132:0.9524, L08-1442:0.9307, W06-2609:0.9263, P07-1097:0.9200, N04-1007:0.9194, N07-1027:0.9128, H05-1118:0.9069, W04-2502:0.9034, E09-3011:0.8968, H05-1041:0.8932
S10-1033 ==> S10-1035:0.9611, S10-1038:0.9606, S10-1039:0.9575, P01-1054:0.9486, W01-0707:0.9483, E99-1003:0.9482, W11-2031:0.9478, W09-3926:0.9470, W09-3536:0.9448, W10-0912:0.9440
W07-2050 ==> N09-4006:0.9462, W06-3706:0.9404, N09-4007:0.9403, W09-3009:0.9393, C08-1043:0.9393, C02-2015:0.9373, S12-1098:0.9356, W10-4355:0.9337, W11-0104:0.9328, C10-2128:0.9318
W07-0208 ==> E06-2013:0.9150, L08-1597:0.9069, W10-1812:0.9024, W11-0403:0.9014, W05-1002:0.8970, C10-2156:0.8953, W06-0609:0.8914, W08-1303:0.8913, L08-1240:0.8908, W11-0908:0.8897
W04-2505 ==> C10-2107:0.8692, P11-1146:0.8581, W08-1801:0.8440, E09-1026:0.8424, E14-1016:0.8407, S10-1048:0.8333, W08-1807:0.8303, W07-1215:0.8213, W11-0106:0.8209, W05-1001:0.8196
S12-1042 ==> S12-1041:0.9313, D13-1099:0.8987, S12-1036:0.8982, C10-1155:0.8938, W10-3006:0.8910, W12-3805:0.8904, W10-3107:0.8846, J12-2005:0.8818, W10-3015:0.8791, W10-3005:0.8757
Q13-1014 ==> P11-2027:0.9383, W13-2250:0.9298, W12-3107:0.9243, W08-0330:0.9230, W12-3120:0.9195, W08-0324:0.9087, W13-1740:0.9074, W12-0111:0.9071, W14-0301:0.9014, W09-0403:0.8967
C10-1069 ==> I05-1051:0.8886, N07-2009:0.8863, D12-1089:0.8846, I05-3011:0.8837, W11-2157:0.8803, W09-0426:0.8802, N12-1034:0.8782, H05-1109:0.8781, W11-1004:0.8777, W13-3010:0.8766
W14-4408 ==> C10-1039:0.9042, W12-0504:0.8854, W13-2110:0.8642, P11-1036:0.8631, W09-2804:0.8525, C14-1187:0.8493, W12-1522:0.8471, P11-1110:0.8453, D13-1069:0.8426, D14-1172:0.8409
N07-2046 ==> P05-1051:0.9229, I08-4013:0.9203, P05-3015:0.9145, C04-1058:0.9128, W03-1504:0.9110, L08-1267:0.9076, W12-2408:0.9033, W14-5407:0.9029, W13-2414:0.9013, P06-1078:0.9011
W11-1913 ==> P13-1049:0.9376, C10-1022:0.9291, W12-2501:0.9259, P11-1082:0.9231, W12-4508:0.9203, W10-3503:0.9149, W11-1912:0.9136, W12-4512:0.9131, P13-3012:0.9127, W12-4504:0.9125
D09-1096 ==> N07-1041:0.9889, N10-1142:0.9255, W04-1008:0.8254, W04-3241:0.7972, W13-3011:0.7811, W08-0626:0.7741, P02-1026:0.7710, W04-2002:0.7682, W03-1009:0.7646, W07-1001:0.7618
C14-1017 ==> S10-1100:0.9511, S14-2106:0.9437, N10-1042:0.9421, P13-2093:0.9420, S14-2042:0.9411, W13-2513:0.9409, W10-4121:0.9403, P08-2034:0.9389, P14-1145:0.9383, P12-2032:0.9377
P12-1033 ==> E14-4035:0.9246, C10-2084:0.9037, W11-0320:0.8955, N10-1033:0.8719, D13-1164:0.8690, P07-1003:0.8685, P14-1139:0.8655, P10-1033:0.8633, P12-2056:0.8621, P13-1017:0.8615
N10-1076 ==> W14-3602:0.9095, N10-1104:0.9030, P08-2030:0.9027, P11-1088:0.9001, P10-2063:0.8974, W09-0804:0.8974, N07-2014:0.8923, W13-2813:0.8920, N09-1045:0.8853, P06-1073:0.8829
W11-1815 ==> W11-1809:0.9913, D07-1024:0.9306, W09-1416:0.9304, W08-0601:0.9140, S13-2111:0.9135, W11-0201:0.9084, W09-1419:0.9056, S13-2105:0.9021, C10-2087:0.9010, S13-2112:0.8977
C10-2142 ==> P09-2019:0.9599, P10-1046:0.9175, E03-1034:0.9143, P07-1028:0.9143, W11-0607:0.8908, E06-1044:0.8850, N10-1058:0.8836, P10-1024:0.8553, W11-0132:0.8510, W10-1810:0.8510
P01-1008 ==> N01-1009:0.8854, W02-1022:0.8639, N03-1024:0.8596, N03-1003:0.8507, C02-1134:0.8386, P13-1119:0.7807, W03-1606:0.7774, W01-1608:0.7676, C10-2115:0.7613, P12-3025:0.7583
D12-1133 ==> P14-2107:0.8932, C14-1202:0.8855, N12-1032:0.8850, W13-4912:0.8826, W13-4909:0.8783, N13-1031:0.8748, C14-1133:0.8743, P09-2010:0.8711, P11-1089:0.8667, L08-1337:0.8662
W13-3521 ==> W14-3327:0.9787, W14-4806:0.9783, W14-3617:0.9766, W14-5815:0.9745, L08-1110:0.9736, C08-1067:0.9716, W14-0817:0.9678, W14-4209:0.9669, W11-2212:0.9660, S12-1015:0.9653
W06-3904 ==> L08-1023:0.9839, E06-2005:0.9834, P03-1047:0.9834, P04-1032:0.9828, W13-2131:0.9807, C08-1032:0.9783, P06-2032:0.9747, W14-2202:0.9729, P14-5009:0.9728, W02-1508:0.9714
W05-1510 ==> P06-1130:0.8798, W05-1511:0.8706, W08-1112:0.8570, J12-4006:0.8550, E09-1014:0.8507, W10-4216:0.8507, C08-1038:0.8469, W06-1661:0.8439, D10-1087:0.8368, E09-1093:0.8341
J01-1005 ==> P03-1043:0.9581, C04-1078:0.9220, C02-1088:0.9196, I05-3006:0.9136, N03-2025:0.8978, C02-1127:0.8507, W03-0808:0.8493, W04-0846:0.8473, P10-1081:0.8370, A00-1034:0.8329
J05-1003 ==> W03-1020:0.7645, W04-3223:0.7386, H05-1100:0.7005, W08-0130:0.6910, W05-1515:0.6834, W03-1019:0.6745, W06-3801:0.6626, D12-1019:0.6616, W10-4144:0.6574, W10-1617:0.6475
D14-1053 ==> N10-3009:0.9248, P11-4006:0.9074, S13-2086:0.8981, N12-3002:0.8943, D13-1091:0.8844, D11-1121:0.8842, W10-0210:0.8841, L08-1088:0.8810, S14-2099:0.8805, W07-2072:0.8788
W11-0320 ==> P12-2055:0.9282, D14-1016:0.9191, P11-2032:0.9114, P12-2056:0.9105, N10-1050:0.9031, W10-0704:0.9026, W10-3802:0.9017, E14-4037:0.8985, W10-2913:0.8976, P14-1138:0.8968
W01-0710 ==> P02-1016:0.9305, W04-3202:0.8293, J04-3001:0.8251, W03-0408:0.7739, N03-1031:0.7668, N04-1012:0.7509, W00-1306:0.7300, D10-1061:0.7170, P08-2017:0.7128, W10-0101:0.7127
W04-0847 ==> C02-1143:0.9806, W05-0401:0.9711, P06-4010:0.9673, W02-0813:0.9635, W07-2065:0.9528, W03-1708:0.9509, I05-3012:0.9021, W05-0511:0.8958, W04-2424:0.8947, P06-2118:0.8713
W03-1712 ==> W01-0807:0.9365, W09-0716:0.9360, W12-2034:0.9322, W05-0507:0.9294, W03-0905:0.9289, P99-1004:0.9280, P99-1008:0.9279, P00-1033:0.9263, W13-4041:0.9242, W03-1402:0.9237
D12-1018 ==> C14-1097:0.9297, N06-1008:0.9215, C08-1107:0.9166, P07-2036:0.9134, W14-1817:0.9112, W11-0319:0.9086, I08-1070:0.9060, D09-1089:0.9032, P10-2045:0.9030, D12-1117:0.8948
C08-1084 ==> W07-2017:0.9628, W11-0908:0.9577, S10-1059:0.9563, S10-1065:0.9540, C08-1105:0.9494, W09-2417:0.9395, S10-1008:0.9380, W11-0209:0.9365, W09-1112:0.9363, W14-3001:0.9357
W13-2323 ==> P12-1104:0.7612, W11-0404:0.7605, W14-4716:0.7595, W11-0611:0.7506, D14-1160:0.7472, D13-1149:0.7423, W13-1005:0.7240, W10-0701:0.7211, P12-1015:0.7200, N10-1046:0.7176
W04-0103 ==> J00-2003:0.9360, P99-1005:0.9270, J03-1001:0.9262, A00-1038:0.9262, I05-2003:0.9259, P99-1020:0.9248, L08-1497:0.9247, P03-2023:0.9246, C00-1041:0.9245, N09-2050:0.9240
W04-0305 ==> W06-3315:0.9370, E03-1002:0.9345, P11-2110:0.9264, P07-2019:0.9238, P06-2113:0.9053, W06-1636:0.8996, E06-2025:0.8952, P12-2001:0.8711, N09-2032:0.8685, W03-0321:0.8654
W11-2202 ==> P12-1072:0.9077, N09-1019:0.8371, N01-1007:0.8310, P13-1012:0.8255, N10-1061:0.8251, W07-2058:0.8235, P14-1073:0.8199, D09-1104:0.8181, W12-4510:0.8176, D13-1029:0.8172
W02-1817 ==> W03-1730:0.9752, I05-3026:0.9511, W03-1723:0.9338, E03-1081:0.8837, P06-2056:0.8519, I05-3028:0.8345, W03-1721:0.8242, I05-3024:0.8132, W03-1701:0.8130, P03-2039:0.8123
S14-2141 ==> W07-2029:0.8479, E09-1064:0.8464, L08-1549:0.8368, C08-1034:0.8351, S13-1014:0.8296, C14-1068:0.8204, D13-1198:0.8203, S14-2049:0.8121, J12-4008:0.8026, W06-1621:0.8021
L08-1210 ==> W09-0306:0.9408, P08-3010:0.9285, P07-1115:0.9053, P05-1076:0.8771, P04-2007:0.8745, P13-3009:0.8708, W06-1905:0.8683, W02-2014:0.8641, W13-0903:0.8620, N03-3006:0.8555
W09-2905 ==> L08-1257:0.9611, L08-1259:0.9592, W04-0410:0.9486, J08-3005:0.9467, W99-0108:0.9424, W09-2901:0.9393, W03-2906:0.9379, W07-1417:0.9349, W07-1710:0.9348, W05-1106:0.9323
P07-1084 ==> E06-1029:0.9835, W04-1814:0.9760, I08-1013:0.9736, C02-2020:0.9569, W11-1206:0.9313, W13-2411:0.9169, P03-2020:0.9153, I05-1062:0.9140, I05-2020:0.9074, W13-2504:0.9016
S12-1073 ==> E12-1008:0.9478, C14-1076:0.9396, W14-6109:0.9373, C10-2129:0.9350, D13-1075:0.9325, D07-1098:0.9310, E12-1007:0.9304, D14-1192:0.9296, J13-1002:0.9290, W14-0803:0.9271
W14-4103 ==> W14-4324:0.9351, W14-2501:0.9287, N09-1072:0.9187, D09-1035:0.9071, W11-2032:0.9058, P08-1020:0.8985, P12-1094:0.8908, W11-0609:0.8854, P07-1063:0.8773, W04-2302:0.8754
P09-1059 ==> P12-1025:0.8701, P13-2031:0.8533, D10-1082:0.8507, P12-1110:0.8497, P14-1069:0.8431, P11-1139:0.8420, D14-1093:0.8333, P14-6008:0.8322, J11-1005:0.8320, C08-1049:0.8286
W04-2413 ==> W04-2420:0.9517, W04-0817:0.9075, W04-2414:0.9057, W04-2418:0.9031, W04-2419:0.9011, W04-2422:0.8962, I08-2079:0.8863, W08-2111:0.8826, I08-2132:0.8815, W14-4016:0.8764
W13-1410 ==> W12-2508:0.8458, P09-2081:0.8411, D13-1113:0.8247, W06-1657:0.8204, L08-1030:0.8147, C04-1088:0.8015, P14-2057:0.7952, C08-1065:0.7879, W13-1735:0.7878, P10-2008:0.7799
P12-2019 ==> C14-1203:0.9529, W07-0604:0.9372, W13-1911:0.8906, D11-1036:0.8543, W04-1504:0.8438, W04-1506:0.8377, W10-2005:0.8264, W09-1316:0.8221, P06-1033:0.8195, N09-1006:0.8179
P03-2030 ==> N03-2022:0.9936, W06-0301:0.8604, C04-1018:0.8383, S14-2099:0.8339, W05-1527:0.8278, E03-2014:0.8257, E06-2003:0.8252, W06-0805:0.8250, W12-1614:0.8231, N03-4017:0.8206
W05-0703 ==> W07-0801:0.9851, P07-1117:0.9795, J00-1006:0.9778, P06-1086:0.9758, P00-1025:0.9745, W09-0803:0.9712, W14-2805:0.9688, J01-1003:0.9682, W07-0802:0.9679, W01-0711:0.9668
N04-1016 ==> W05-0603:0.9158, W04-2010:0.8459, P03-1059:0.8363, H05-1105:0.8359, N09-2018:0.8339, H05-1015:0.8322, I05-2018:0.8171, C10-1137:0.8141, W09-2409:0.8122, P06-2077:0.7771
W06-1661 ==> E09-1014:0.8780, W10-4216:0.8665, P07-1042:0.8552, P11-2034:0.8454, W05-1510:0.8439, W08-1703:0.8226, D10-1087:0.8074, W11-2708:0.7999, W08-1112:0.7926, C08-1038:0.7919
W14-3626 ==> C14-1196:0.9392, C14-1119:0.9290, P14-2078:0.9248, P11-1138:0.9238, P14-2013:0.9212, C10-1150:0.9164, D12-1076:0.9006, P13-1146:0.8974, P14-2076:0.8937, P12-1086:0.8884
P05-1029 ==> W02-0222:0.9937, C02-1135:0.9926, W03-2106:0.9911, W03-2103:0.9890, W02-0203:0.9887, P00-1018:0.9877, P01-1031:0.9847, W01-1616:0.9813, W00-1109:0.9787, W00-0302:0.9712
I08-2132 ==> I08-2079:0.9598, W08-2111:0.9467, W07-1518:0.9442, N09-2065:0.9403, W05-0632:0.9402, W05-0621:0.9331, H05-2004:0.9310, W06-3308:0.9308, W07-2038:0.9308, W06-1518:0.9298
S14-2110 ==> S10-1054:0.9105, S10-1028:0.9022, S10-1002:0.8963, S10-1003:0.8860, S13-2030:0.8721, P13-2053:0.8702, W09-2412:0.8668, P11-2055:0.8652, S13-2032:0.8631, W07-2035:0.8629
