C02-1122 ==> C04-1174:0.9666, H01-1043:0.9425, W02-1608:0.9353, I08-2110:0.9298, N06-1023:0.8873, D09-1151:0.8837, P09-2052:0.8735, I05-1005:0.8460, I08-1065:0.8349, D07-1032:0.8205
P12-3025 ==> P13-1119:0.9941, C10-2115:0.9908, W03-1611:0.9677, C08-3006:0.9603, J10-4005:0.9511, W03-1606:0.9509, N03-2013:0.9501, L08-1402:0.9404, P09-2050:0.9199, D14-1140:0.9139
W01-1405 ==> H01-1062:0.9246, W07-0712:0.9172, P11-4012:0.9122, E03-1007:0.9055, H05-1096:0.8953, W14-3340:0.8947, J07-1003:0.8892, W06-3113:0.8870, I05-1042:0.8847, W06-3602:0.8843
C14-1139 ==> W06-3804:0.9687, D10-1036:0.9653, L08-1304:0.9626, D09-1027:0.9613, E14-3011:0.9604, S14-2037:0.9567, S10-1040:0.9556, S10-1037:0.9537, W08-1404:0.9521, W07-0203:0.9484
I05-3005 ==> I08-7003:0.9341, I08-4021:0.9207, N06-1041:0.8829, W06-0104:0.8579, C10-2016:0.8487, W06-0138:0.8433, I08-2130:0.8371, N09-2054:0.8233, I05-1048:0.8193, E14-1062:0.8173
D14-1177 ==> W10-3508:0.8350, W09-0430:0.8341, P11-1133:0.8293, W13-2206:0.8260, W13-2702:0.8222, W13-2504:0.8214, L08-1583:0.8213, W12-0115:0.8195, D14-1060:0.8171, W13-2509:0.8167
W02-0601 ==> W06-3205:0.9839, W05-0503:0.9829, W03-2907:0.9818, W02-0605:0.9768, W05-0504:0.9685, W04-0105:0.9681, C04-1152:0.9555, P03-1036:0.9536, W04-0106:0.9502, W02-0602:0.9471
C08-2029 ==> W09-0612:0.9768, P06-2033:0.9718, W08-1138:0.9708, W06-1408:0.9701, W09-0630:0.9700, C04-1096:0.9699, C04-1171:0.9698, L08-1090:0.9695, E06-1041:0.9691, W05-1607:0.9690
W12-1012 ==> P06-2071:0.9310, W06-0601:0.9288, N10-1125:0.9012, W08-1910:0.8959, H05-1123:0.8864, C04-1092:0.8835, W14-5410:0.8685, C02-1144:0.8509, D09-1097:0.8429, S12-1014:0.8417
D14-1216 ==> W14-2304:0.9843, N10-1039:0.9554, S13-2018:0.9553, D11-1073:0.9531, P14-2121:0.9509, S13-2020:0.9383, W13-1017:0.9343, W06-1201:0.9335, W11-0807:0.9186, W11-1306:0.9156
W02-1704 ==> C04-1061:0.9835, N03-2011:0.9834, C02-2027:0.9830, W03-0909:0.9827, W06-2709:0.9780, C14-2013:0.9763, W04-0213:0.9754, C00-2087:0.9255, W06-1502:0.9246, W05-1610:0.9243
W14-3359 ==> W14-3360:0.9371, D09-1078:0.9365, W14-3316:0.9356, C14-1182:0.9328, E12-1016:0.9285, W13-2803:0.9284, D14-1014:0.9223, W13-2238:0.9213, W14-3307:0.9169, P11-2078:0.9168
W09-2804 ==> P11-2113:0.9378, W11-1722:0.9288, P11-2086:0.9124, L08-1063:0.9078, D12-1024:0.9064, C10-1111:0.9052, W11-0507:0.9002, N10-1100:0.8982, D11-1043:0.8974, N13-1047:0.8971
W03-0418 ==> N04-1015:0.8959, W03-1016:0.8788, N06-2003:0.8741, W14-3202:0.8609, W02-1017:0.8540, P11-4020:0.8521, W14-3415:0.8499, P14-2099:0.8498, W10-1109:0.8497, W05-1621:0.8398
W09-3811 ==> D07-1120:0.9450, W13-1912:0.9391, J13-1002:0.9360, W09-3825:0.9301, D07-1099:0.9257, C10-1093:0.9246, W12-0707:0.9242, E12-2012:0.9177, D07-1123:0.9158, W13-4906:0.9138
W14-2603 ==> C10-2057:0.9401, S10-1100:0.9391, P08-2034:0.9335, S14-2106:0.9307, C10-2036:0.9302, E14-1040:0.9211, W14-2605:0.9204, N10-1042:0.9199, W10-4121:0.9196, S14-2057:0.9190
S14-1004 ==> C08-1126:0.9750, W09-0308:0.9580, L08-1323:0.9526, W10-1610:0.9463, L08-1275:0.9433, D14-1031:0.9416, S13-1026:0.9335, L08-1168:0.9214, J06-1003:0.9172, P11-1029:0.8776
N03-5006 ==> W07-2108:0.9773, P11-2047:0.9646, W06-2111:0.9640, S10-1076:0.9615, W09-1302:0.9614, W01-1305:0.9557, W00-0503:0.9554, P09-1071:0.9523, W09-2812:0.9522, W06-2107:0.9516
W03-2007 ==> C00-2086:0.9403, C00-2161:0.9390, P00-1045:0.9388, P09-2048:0.9358, W08-0202:0.9356, W08-1501:0.9355, W01-1615:0.9344, W10-4339:0.9330, W09-3420:0.9329, W09-3743:0.9325
J09-2001 ==> C04-1124:0.9697, I05-1050:0.9691, D11-1093:0.9618, D10-1105:0.9604, W04-2118:0.9582, I05-7005:0.9576, W06-1205:0.9562, W11-0806:0.9525, N09-5005:0.9472, P01-1013:0.9466
D10-1082 ==> P14-2042:0.9275, C08-1049:0.9231, P08-1102:0.8987, D12-1046:0.8909, P12-1110:0.8886, P09-1058:0.8883, P14-2033:0.8881, P08-1101:0.8850, D13-1031:0.8838, P07-1106:0.8822
I05-1080 ==> N09-3015:0.9501, W07-2078:0.9414, W05-0608:0.9367, W06-2604:0.9316, W06-2608:0.9197, J03-3006:0.8909, W04-0820:0.8891, W04-0856:0.8887, W00-0104:0.8868, E06-2016:0.8841
H05-1024 ==> C04-1006:0.9045, H05-1009:0.9042, W11-0320:0.8962, E06-1019:0.8941, W10-0704:0.8930, C10-2147:0.8886, I05-1041:0.8885, W06-2008:0.8876, P05-3018:0.8836, W10-3813:0.8822
P03-1058 ==> W04-2807:0.9624, W04-0811:0.8843, W00-0802:0.8577, W02-0805:0.8519, P02-1044:0.8495, W02-1006:0.8259, L08-1339:0.8193, W07-1508:0.8186, W04-2704:0.8163, W03-0406:0.8069
S12-1009 ==> W09-0805:0.8179, W05-0604:0.7948, P14-2049:0.7621, W05-1005:0.7620, N10-3005:0.7596, W06-2205:0.7584, W09-0215:0.7578, P14-1113:0.7563, P13-1149:0.7560, D14-1087:0.7509
P09-2086 ==> D13-1023:0.9474, D10-1026:0.9182, P08-1058:0.9155, C14-1182:0.9127, P14-1075:0.9086, P12-3008:0.9055, P11-1027:0.9020, W14-3328:0.9020, W10-0504:0.9007, P08-1075:0.8999
J11-3004 ==> W12-6218:0.9684, P10-1151:0.9608, Q13-1002:0.9563, P11-2060:0.9556, D11-1114:0.9551, P12-1069:0.9532, E12-1008:0.9516, D12-1044:0.9487, D14-1099:0.9473, J14-3001:0.9410
W14-2402 ==> W11-1301:0.9448, P13-2010:0.9448, W14-5418:0.9406, S14-1020:0.9376, N13-1134:0.9334, S14-1021:0.9326, W14-1817:0.9274, C10-1049:0.9269, S12-1012:0.9240, W09-0215:0.9218
D08-1099 ==> C10-2053:0.9936, W04-0506:0.9935, N07-1066:0.9935, W04-2508:0.9842, W06-1910:0.9832, W04-0840:0.9807, N03-1007:0.9674, W05-1625:0.9567, W03-1122:0.9565, P06-1113:0.9563
W10-3406 ==> W07-2081:0.9674, W07-2084:0.9638, P06-2021:0.9578, W11-0903:0.9567, P08-1052:0.9471, W07-2049:0.9443, P08-2047:0.9368, S10-1044:0.9323, S10-1050:0.9304, S12-1071:0.9303
H05-1002 ==> E03-1057:0.9849, E03-2004:0.9807, P01-1036:0.9726, P05-2020:0.9479, W06-1612:0.9008, P00-1023:0.8829, W04-1911:0.8726, W06-2112:0.8463, W06-2717:0.8455, W04-1502:0.8398
D09-1054 ==> H05-2003:0.9723, C04-1079:0.9569, P05-1037:0.9562, W11-0503:0.9518, W08-0125:0.9507, N07-4009:0.9487, D09-1118:0.9458, W11-2005:0.9389, W12-1629:0.9354, W10-1818:0.9350
C14-1009 ==> W12-3717:0.9122, S14-2149:0.9102, D11-1053:0.9024, W12-0413:0.8988, W13-3524:0.8969, D12-1006:0.8962, W14-4105:0.8948, W13-2707:0.8938, P14-1030:0.8932, W12-3707:0.8903
N13-3006 ==> L08-1535:0.9736, P03-1061:0.9400, C02-2019:0.9300, W04-3230:0.9274, C00-1004:0.9139, C14-2019:0.8978, P07-2056:0.8959, C10-2040:0.8742, I08-4016:0.8654, W06-0116:0.8585
P06-1134 ==> P07-1054:0.9398, W14-2625:0.9239, C08-1104:0.9202, P08-2004:0.9145, N09-1002:0.9103, S14-2053:0.8968, W11-1716:0.8947, J14-3003:0.8929, W13-1612:0.8911, W14-2614:0.8870
W10-3602 ==> D08-1077:0.9855, W07-0410:0.9228, W13-2214:0.9172, W11-1011:0.9097, D14-1028:0.9088, W11-2211:0.8979, W10-2413:0.8978, W11-2150:0.8908, P11-2078:0.8901, I05-1051:0.8899
I05-1055 ==> W06-1662:0.9537, P13-2016:0.8829, P14-2099:0.8806, P06-1049:0.8803, P11-3002:0.8791, N06-2017:0.8769, W05-1621:0.8743, J09-1003:0.8691, W06-1112:0.8667, D14-1140:0.8667
W07-2089 ==> P05-2025:0.9124, D13-1018:0.9004, W07-2075:0.8978, N07-1017:0.8884, W14-4711:0.8880, S13-2049:0.8838, W07-2073:0.8768, N10-1088:0.8762, D14-1046:0.8741, Q13-1013:0.8691
D11-1019 ==> Q13-1020:0.9578, N12-1062:0.9521, P09-1020:0.9515, N09-1027:0.9446, W14-4904:0.9438, P09-1063:0.9431, D12-1109:0.9399, P12-1100:0.9399, P12-3022:0.9398, N13-1029:0.9390
P09-4008 ==> L08-1469:0.9545, L08-1057:0.9533, W14-3905:0.9511, N07-2017:0.9506, P13-2044:0.9503, L08-1112:0.9486, P11-1084:0.9486, P07-2054:0.9460, L08-1218:0.9433, W11-2134:0.9405
I05-2043 ==> W06-3706:0.9647, A00-2037:0.9612, C04-1069:0.9584, W99-0108:0.9582, W10-4124:0.9565, I05-3015:0.9556, J03-1001:0.9554, P00-1053:0.9544, P06-1069:0.9539, W04-0602:0.9537
I08-3007 ==> W04-1608:0.9415, N03-2033:0.9356, W05-0502:0.9319, W04-2313:0.9288, L08-1388:0.9276, W07-0202:0.9248, P07-1014:0.9230, W07-0213:0.9194, L08-1477:0.9178, J03-1001:0.9163
N06-2024 ==> I08-1044:0.9238, I08-4016:0.9104, W06-0130:0.8967, C14-2019:0.8956, W06-0116:0.8830, I08-4025:0.8756, W06-0140:0.8685, I05-3035:0.8646, N06-2049:0.8630, P07-2007:0.8607
N13-1087 ==> W06-1645:0.9837, H05-1061:0.9190, W13-2517:0.8710, P06-4002:0.8706, W05-1004:0.8703, P04-3006:0.8659, D09-1084:0.8560, P05-3009:0.8521, N06-2037:0.8514, W04-3226:0.8428
E03-1025 ==> W06-2302:0.9403, W04-2005:0.9381, W04-0913:0.8803, N03-3006:0.8771, W06-0802:0.7997, C02-1121:0.7870, P07-3003:0.7809, C02-1118:0.7534, C04-1123:0.7527, P03-1015:0.7360
P06-1060 ==> D10-1033:0.9146, I08-4004:0.9124, P06-2060:0.9092, W07-1712:0.8978, W11-1921:0.8975, H05-1048:0.8891, N09-2051:0.8879, C10-1105:0.8840, L08-1399:0.8836, W06-3802:0.8777
L08-1451 ==> W12-1001:0.9572, W12-0411:0.9513, W10-4351:0.9469, W03-2108:0.9456, C10-2166:0.9421, W06-1631:0.9421, W06-0201:0.9405, W04-1302:0.9403, W04-1512:0.9400, P05-3028:0.9398
N06-1008 ==> P07-1057:0.9657, I08-1070:0.9311, E03-1061:0.9307, P09-2018:0.9232, N06-1007:0.9188, W07-1425:0.9050, W14-4712:0.9028, W14-1817:0.8947, P08-2047:0.8905, D09-1122:0.8895
L08-1368 ==> W05-0827:0.9516, W08-0313:0.9477, W10-1604:0.9474, W06-3115:0.9458, N09-2056:0.9453, N09-1021:0.9440, W06-3125:0.9438, W08-0315:0.9398, W14-3314:0.9387, W14-3304:0.9342
W13-2301 ==> W14-5312:0.9249, P11-1088:0.9228, P13-1069:0.9197, W12-2301:0.9179, W14-3602:0.9143, P09-2056:0.9114, P10-2063:0.9084, L08-1361:0.9083, N13-1036:0.9035, N13-1049:0.9033
J10-2003 ==> I08-1055:0.9722, E06-3005:0.8904, N07-1069:0.8398, N06-3009:0.8366, W05-0306:0.8310, I08-5010:0.8257, W05-0639:0.8136, W11-0403:0.8087, W05-0638:0.8059, W07-1513:0.7995
I08-6001 ==> N09-2007:0.9756, N10-1070:0.9722, P07-1110:0.9712, W06-1009:0.9690, C08-1017:0.9609, L08-1582:0.9596, C08-1007:0.9586, W11-1217:0.9292, J05-4003:0.9247, P09-2057:0.9233
D14-1114 ==> P12-1059:0.9291, D13-1042:0.8789, I08-2126:0.8782, I08-4004:0.8724, C14-1030:0.8688, D09-1128:0.8668, D09-1104:0.8653, W08-1809:0.8614, H05-1013:0.8569, W07-2058:0.8437
W07-0310 ==> W07-0308:0.9993, N03-5006:0.7295, P02-1059:0.7283, E03-1022:0.7179, W06-1419:0.7114, P11-2047:0.7103, W10-1801:0.7077, P09-1071:0.7067, W09-1302:0.7058, W06-2107:0.7017
W10-1403 ==> W13-4911:0.9238, E14-4031:0.9191, P10-3018:0.9126, P09-3002:0.9112, I08-2139:0.9109, W09-3812:0.9049, W10-1411:0.8995, N09-1038:0.8980, W07-1201:0.8916, W14-6103:0.8913
W10-2506 ==> P10-1108:0.9337, P09-1108:0.9274, P09-2035:0.9071, P10-2037:0.9043, N07-1063:0.8987, N09-1027:0.8958, C08-5001:0.8941, D10-1027:0.8931, P11-2073:0.8902, N12-1062:0.8886
W07-1607 ==> P11-1019:0.9620, W12-2031:0.9352, C08-1022:0.9285, W13-3613:0.9259, L08-1306:0.9211, W12-2006:0.9145, W12-0905:0.9145, W05-1517:0.9139, W12-2028:0.9131, W13-3607:0.9123
N07-1032 ==> H05-1050:0.9449, W09-1110:0.8738, W10-1206:0.8518, P12-1065:0.8210, S14-2015:0.8182, W04-2603:0.8026, S14-2074:0.8008, S14-2038:0.7969, P05-1001:0.7962, P13-4005:0.7962
W14-4424 ==> D12-1023:0.8856, P12-1052:0.8447, D09-1043:0.8311, C10-1144:0.8274, P13-2107:0.8263, P06-1064:0.8226, P10-1055:0.8190, D11-1106:0.8145, C10-1053:0.8117, C10-2119:0.8112
W07-1007 ==> W14-1202:0.9416, W13-1503:0.8953, W09-3102:0.8763, W13-2903:0.8573, J10-2002:0.8527, W14-5605:0.8470, C14-1033:0.8423, D14-1146:0.8405, D12-1043:0.8392, W13-2908:0.8379
P14-1055 ==> C10-2143:0.8871, W05-0619:0.8701, L08-1253:0.8537, P09-1117:0.8337, W08-0605:0.8307, W10-0105:0.8226, D07-1051:0.8142, C14-1102:0.8141, W09-1902:0.8133, W06-2202:0.8084
W07-1202 ==> S14-2064:0.9153, L08-1073:0.9091, W14-6107:0.8988, P14-1021:0.8981, W07-2203:0.8948, W06-1619:0.8899, S10-1060:0.8856, W08-1304:0.8843, W14-5205:0.8832, S10-1069:0.8801
W06-2903 ==> E14-4032:0.9289, W06-1636:0.9287, S10-1021:0.9220, P12-2021:0.9138, N13-1024:0.9137, I05-6006:0.9130, P04-1058:0.9108, D13-1195:0.9069, P06-2048:0.9046, D08-1091:0.8984
L08-1608 ==> D09-1132:0.9193, H05-1118:0.9008, H05-1117:0.8907, I05-1046:0.8880, W04-2502:0.8834, N04-1007:0.8779, L08-1442:0.8760, P07-1097:0.8758, H05-1039:0.8712, W08-1806:0.8669
S10-1033 ==> S10-1039:0.9717, S10-1038:0.9569, W14-4317:0.9521, S10-1035:0.9507, W99-0106:0.9490, W04-1607:0.9486, W10-4336:0.9434, L08-1452:0.9433, W09-2821:0.9426, P09-2048:0.9397
W07-2050 ==> C08-1043:0.9733, W06-2506:0.9456, W10-1505:0.9451, W10-4335:0.9448, W07-2011:0.9417, W09-2816:0.9390, W03-1403:0.9384, I08-7013:0.9377, L08-1095:0.9369, P07-1023:0.9367
W07-0208 ==> P10-1022:0.9191, N13-1125:0.9134, D07-1065:0.9126, N10-2004:0.8747, E12-1070:0.8716, W05-0639:0.8670, I05-1079:0.8607, N07-1069:0.8567, W10-1819:0.8551, W05-0633:0.8474
W04-2505 ==> P08-2047:0.8688, S10-1048:0.8604, P06-1107:0.8409, W07-2082:0.8317, W07-2049:0.8256, P11-1146:0.8253, W11-0106:0.8229, N06-1005:0.8178, C10-2009:0.8160, P06-2105:0.8114
S12-1042 ==> S12-1041:0.9383, W12-3805:0.9327, S12-1036:0.9071, W14-3403:0.9062, P11-2049:0.9052, J12-2005:0.9026, D08-1075:0.8943, W10-3106:0.8930, W09-1105:0.8894, W13-2327:0.8885
Q13-1014 ==> D09-1108:0.9352, D13-1053:0.9333, E09-1049:0.9260, W11-2166:0.9260, N12-1062:0.9247, W11-1015:0.9242, W10-1709:0.9227, P13-2069:0.9227, D10-1053:0.9225, C08-1138:0.9199
C10-1069 ==> P12-1103:0.8677, P10-2015:0.8458, E12-1002:0.8420, W14-3345:0.8377, W11-2117:0.8368, W12-3118:0.8342, W13-2818:0.8337, D12-1027:0.8257, W13-1740:0.8251, P12-1097:0.8247
W14-4408 ==> W11-1722:0.8942, W09-2804:0.8911, W13-2116:0.8885, W11-0507:0.8884, P14-2041:0.8879, C14-1187:0.8786, C10-1039:0.8750, P11-1110:0.8743, P11-2113:0.8740, P10-2055:0.8671
N07-2046 ==> W12-2408:0.9516, P05-3015:0.9381, D08-1003:0.9368, P14-2021:0.9348, W03-1504:0.9255, W14-0609:0.9232, I08-7002:0.9230, L08-1267:0.9225, W06-2203:0.9131, W13-4009:0.9080
W11-1913 ==> W11-1915:0.9332, W11-1905:0.9295, W11-1909:0.9270, W11-1904:0.9191, W11-1914:0.9156, P10-1142:0.9147, W11-1920:0.9143, E14-4045:0.9119, D12-1114:0.9086, C10-1022:0.9080
D09-1096 ==> N07-1041:0.9676, N10-1142:0.9105, W04-1008:0.9026, W13-4032:0.8525, W06-3406:0.8186, P01-1060:0.8102, W04-3240:0.8087, L08-1359:0.8030, D09-1065:0.8021, C02-1013:0.7959
C14-1017 ==> S14-2106:0.9444, S14-2042:0.9387, N03-1025:0.9300, P08-2034:0.9290, S14-2104:0.9266, E14-4039:0.9263, W10-3209:0.9261, W14-3624:0.9259, W12-3713:0.9248, P09-1078:0.9208
P12-1033 ==> E14-4035:0.9301, P14-1139:0.8992, W09-1804:0.8827, P09-1104:0.8759, W10-3802:0.8722, D14-1197:0.8681, P13-2002:0.8642, C10-1040:0.8630, N10-1033:0.8630, W14-2212:0.8580
N10-1076 ==> D10-1079:0.9113, W09-0804:0.8426, P06-1073:0.8393, P08-2030:0.8323, N10-1104:0.8317, D10-1071:0.8275, W14-3602:0.8219, W04-1612:0.8158, N09-1045:0.8144, W05-0701:0.8124
W11-1815 ==> W11-1809:0.9892, C10-2087:0.9366, E06-1051:0.9352, W08-0601:0.9330, S13-2111:0.9306, W09-1419:0.9126, D09-1013:0.9046, S13-2112:0.9009, D07-1024:0.9002, S13-2103:0.8930
C10-2142 ==> P09-2019:0.9644, E06-1044:0.9386, N10-1058:0.9340, E03-1034:0.9237, P07-1028:0.9035, P10-1046:0.8953, W07-2077:0.8935, W06-0101:0.8743, W11-0910:0.8573, E12-1038:0.8536
P01-1008 ==> N03-1024:0.9194, N01-1009:0.9099, W02-1022:0.9040, N03-1003:0.8636, W03-1606:0.8141, P13-1119:0.7998, P12-3025:0.7975, C10-2115:0.7751, W03-1611:0.7709, C02-1134:0.7589
D12-1133 ==> W11-0302:0.9118, P11-1089:0.9090, W13-4902:0.9086, D07-1102:0.9063, W14-6102:0.9042, W13-4917:0.9019, W14-6108:0.9009, N12-1032:0.9004, W14-6101:0.8980, D14-1122:0.8954
W13-3521 ==> W14-4209:0.9783, W12-4406:0.9773, L08-1110:0.9703, W14-5815:0.9670, P12-2006:0.9666, W14-4009:0.9663, W08-0313:0.9663, E12-2003:0.9631, D09-1117:0.9620, L08-1060:0.9619
W06-3904 ==> P03-1047:0.9906, E03-1024:0.9873, P06-1052:0.9862, P04-1032:0.9855, W13-2131:0.9838, C08-1032:0.9829, P06-2032:0.9816, W06-1516:0.9814, L08-1023:0.9799, E06-2005:0.9772
W05-1510 ==> W08-1112:0.9331, D10-1087:0.9220, P06-1130:0.9153, W08-1703:0.8996, E09-1014:0.8914, W05-1511:0.8771, W08-1122:0.8674, W06-1661:0.8639, P11-2034:0.8520, E09-1093:0.8304
J01-1005 ==> N03-2025:0.9313, C02-1088:0.9226, P03-1043:0.9121, I05-3006:0.8868, C04-1078:0.8746, C02-1051:0.8737, W09-3002:0.8711, W08-0615:0.8663, C04-1164:0.8663, L08-1279:0.8571
J05-1003 ==> W08-0130:0.7847, W03-1020:0.7565, W04-3223:0.7212, H05-1100:0.7125, W08-1111:0.7113, H05-1099:0.7006, P04-1086:0.6974, N07-1001:0.6963, W06-0107:0.6935, N10-1095:0.6934
D14-1053 ==> C10-1091:0.8935, D13-1171:0.8923, D14-1080:0.8865, D09-1062:0.8843, W10-0210:0.8842, W12-3713:0.8756, W13-1615:0.8739, S13-2054:0.8625, D12-1122:0.8623, D09-1061:0.8616
W11-0320 ==> P09-2058:0.9528, C04-1006:0.9512, W10-3813:0.9488, W10-2917:0.9482, D11-1082:0.9447, P11-2066:0.9441, P11-1131:0.9430, N06-4004:0.9412, P11-2079:0.9395, P07-1001:0.9391
W01-0710 ==> P02-1016:0.9285, W04-3202:0.8305, J04-3001:0.8255, N04-1012:0.8179, N03-1031:0.8036, W03-0408:0.8023, P10-1037:0.7618, W00-1306:0.7607, P04-1075:0.7240, I05-1006:0.7186
W04-0847 ==> C02-1143:0.9835, W02-0813:0.9815, W05-0401:0.9777, W07-2065:0.9696, P06-4010:0.9648, W03-1708:0.9574, I05-3012:0.9396, P04-1038:0.9272, C02-1097:0.9149, W05-0511:0.9099
W03-1712 ==> W02-1014:0.9363, W10-4351:0.9359, W13-1012:0.9355, P07-2024:0.9314, L08-1211:0.9301, P09-2042:0.9297, C10-2166:0.9293, C00-1018:0.9292, W10-4222:0.9288, W13-4058:0.9285
D12-1018 ==> P12-1037:0.9347, D12-1117:0.9127, J12-1003:0.9097, P11-1162:0.8819, D13-1039:0.8801, E09-1064:0.8775, P12-1013:0.8703, P07-1057:0.8663, D12-1094:0.8650, P10-2045:0.8648
C08-1084 ==> W11-0908:0.9475, S10-1059:0.9457, S10-1008:0.9417, W07-2017:0.9404, P07-1027:0.9319, H05-1111:0.9287, W14-3001:0.9277, W09-2417:0.9260, P09-1033:0.9245, P08-1063:0.9202
W13-2323 ==> W11-0404:0.8151, W09-2401:0.8129, L08-1551:0.8065, P06-1013:0.8023, J13-3003:0.8006, W07-2020:0.7988, D09-1046:0.7978, S10-1053:0.7951, D14-1160:0.7946, N13-1062:0.7917
W04-0103 ==> W07-1309:0.9678, N06-2002:0.9236, W05-0502:0.9211, C14-1073:0.9150, W10-1613:0.9139, P07-1014:0.9125, I08-2141:0.9099, W07-1313:0.9083, P10-1104:0.9071, H01-1070:0.9061
W04-0305 ==> W06-3315:0.9428, W13-3202:0.9333, P11-2110:0.9292, E03-1002:0.9258, P07-2019:0.9241, W06-1636:0.9071, P06-2113:0.9035, W04-0303:0.9025, D10-1066:0.8999, W06-3603:0.8943
W11-2202 ==> P12-1072:0.8962, W12-4511:0.8907, P11-1080:0.8631, D13-1057:0.8555, W11-1907:0.8535, D13-1029:0.8498, W11-1917:0.8464, W10-3503:0.8426, C10-1017:0.8399, P13-3012:0.8392
W02-1817 ==> W03-1730:0.9694, I05-3026:0.9262, W03-1723:0.9260, E03-1081:0.8795, I05-1048:0.8520, W03-1025:0.8481, W10-4136:0.8460, I05-3028:0.8454, P06-2123:0.8428, W04-1109:0.8416
S14-2141 ==> D13-1198:0.8593, P14-1114:0.8506, S13-1002:0.8367, D10-1116:0.8315, C14-1068:0.8204, P14-1008:0.8133, W13-3210:0.8110, N13-1133:0.8064, S14-2039:0.8013, N10-1084:0.7976
L08-1210 ==> W09-0306:0.9131, P08-3010:0.8721, P07-1115:0.8606, W13-2607:0.8383, N10-1147:0.8300, C00-2100:0.8287, L08-1149:0.8203, W12-0910:0.8174, N03-3006:0.8159, P07-2010:0.8077
W09-2905 ==> L08-1259:0.9443, W07-1417:0.9287, W03-1811:0.9198, W07-2050:0.9184, W06-3708:0.9144, L08-1388:0.9141, L08-1237:0.9132, W02-1303:0.9118, W06-2506:0.9104, W02-1038:0.9076
P07-1084 ==> W04-1814:0.9805, C02-2020:0.9754, P03-2020:0.9630, E06-1029:0.9584, W11-1206:0.9549, I08-1013:0.9481, I05-1062:0.9425, E03-1023:0.9397, I05-2020:0.9306, P13-2133:0.9259
S12-1073 ==> W08-2136:0.9405, C14-1076:0.9380, P13-1051:0.9335, W09-1216:0.9259, P13-4010:0.9244, W14-1208:0.9241, C14-1133:0.9201, W14-4606:0.9140, W08-2138:0.9127, W09-1211:0.9127
W14-4103 ==> W14-4324:0.9226, W11-0609:0.9051, W14-2501:0.8986, P12-1094:0.8805, N09-1072:0.8400, D09-1035:0.8240, P14-1017:0.8210, P08-1020:0.8147, W11-2032:0.8049, P06-2081:0.8041
P09-1059 ==> P13-1043:0.8856, P12-1110:0.8845, P13-1076:0.8832, E14-1018:0.8768, P13-2105:0.8740, P11-1139:0.8722, P13-2031:0.8695, P12-1026:0.8642, P14-2033:0.8635, P13-2020:0.8629
W04-2413 ==> W04-2420:0.9152, C04-1179:0.9023, W04-2414:0.9016, W04-2419:0.8968, S10-1080:0.8934, W04-3214:0.8924, W04-2008:0.8862, W08-2111:0.8824, W09-1112:0.8797, W05-0627:0.8795
W13-1410 ==> S14-1018:0.8851, W12-2508:0.8456, P06-3004:0.8355, D07-1066:0.8345, W08-1006:0.8319, L08-1383:0.8278, W08-1004:0.8239, D13-1113:0.8231, W07-1506:0.8188, L08-1213:0.8159
P12-2019 ==> W07-0604:0.9116, W13-1914:0.9110, W04-1504:0.9107, C14-1203:0.8984, W04-1506:0.8977, W09-1316:0.8952, I08-4007:0.8902, W11-0506:0.8857, W10-4202:0.8767, L08-1317:0.8724
P03-2030 ==> N03-2022:0.9917, L08-1088:0.8518, W06-0301:0.8513, L08-1160:0.8454, W14-3704:0.8451, N09-3003:0.8439, C04-1018:0.8323, W13-2707:0.8165, W11-1702:0.8106, W07-2072:0.8073
W05-0703 ==> P00-1025:0.9869, W09-0803:0.9868, W07-0801:0.9859, J01-1003:0.9838, P07-1117:0.9804, P06-1086:0.9781, J00-1006:0.9763, W14-2805:0.9725, W01-0711:0.9710, W09-0802:0.9671
N04-1016 ==> W05-0603:0.9220, H05-1105:0.8852, N09-2018:0.8573, W04-2010:0.8570, P03-1059:0.8496, C10-1137:0.8451, H05-1015:0.8347, P06-2077:0.8283, I05-2018:0.8264, P00-1014:0.8181
W06-1661 ==> E09-1014:0.9025, D10-1087:0.8887, W08-1703:0.8725, W05-1510:0.8639, P07-1042:0.8581, W08-1112:0.8431, C10-1144:0.8220, P06-1130:0.8161, W11-2706:0.7945, C10-2119:0.7906
W14-3626 ==> C14-1147:0.9264, E14-4021:0.9249, P13-1146:0.9102, W14-6202:0.9100, P12-1086:0.9094, P14-2078:0.9005, C14-1119:0.8997, C14-1196:0.8969, D12-1010:0.8950, P14-2076:0.8942
P05-1029 ==> W03-2106:0.9954, W02-0222:0.9950, W02-0203:0.9934, W03-2103:0.9933, P00-1018:0.9899, P01-1031:0.9888, C02-1135:0.9877, W00-1109:0.9848, W01-1616:0.9795, W00-0302:0.9701
I08-2132 ==> W06-0602:0.9533, W08-2134:0.9524, W05-0638:0.9456, H05-2004:0.9399, W07-1518:0.9387, I08-2109:0.9360, W05-0634:0.9338, W05-0631:0.9328, W06-1622:0.9308, W05-0627:0.9289
S14-2110 ==> D09-1139:0.8795, S13-2007:0.8685, P11-2055:0.8617, S10-1053:0.8543, E09-1010:0.8499, D09-1109:0.8495, S13-2032:0.8491, C14-1025:0.8489, W11-1418:0.8462, S13-2033:0.8415
