C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
P12-3025 ==> P13-1119:0.9944, C10-2115:0.9929, L08-1402:0.9628, W03-1611:0.9613, C08-3006:0.9572, J10-4005:0.9477, D14-1140:0.9476, C04-1184:0.9442, N03-2013:0.9344, W03-1606:0.9328
W01-1405 ==> W12-3111:0.9201, E03-1007:0.9179, H05-1096:0.9155, P14-2094:0.9146, W14-3340:0.9083, D08-1051:0.9077, P06-2107:0.9049, W09-1005:0.9032, W11-2149:0.9006, N07-2034:0.9003
C14-1139 ==> S10-1040:0.9373, C10-2054:0.9341, D10-1036:0.9309, W13-2709:0.9145, D09-1027:0.9116, W06-3804:0.8850, P06-1068:0.8848, N06-2004:0.8802, D10-1105:0.8787, N09-5005:0.8768
I05-3005 ==> I08-7003:0.9391, I08-4021:0.9343, W06-0104:0.8790, N06-1041:0.8747, C10-2016:0.8419, I08-4009:0.8347, N09-2054:0.8303, I08-2130:0.8258, E03-1081:0.8252, W04-3236:0.8235
D14-1177 ==> N13-1011:0.8109, C10-1141:0.7937, S13-2008:0.7915, W11-1418:0.7776, S13-2029:0.7695, D13-1017:0.7647, P14-1059:0.7638, W09-1701:0.7637, W13-1905:0.7611, D14-1065:0.7569
W02-0601 ==> W05-0503:0.9947, W05-0504:0.9897, W02-0605:0.9716, W04-0105:0.9677, C04-1152:0.9673, W06-3210:0.9664, W02-0602:0.9640, W06-3205:0.9630, W04-0106:0.9591, P03-1036:0.9554
C08-2029 ==> W06-1420:0.9796, D07-1011:0.9780, W05-1626:0.9762, W06-1410:0.9753, W10-4221:0.9744, W06-1411:0.9729, L08-1090:0.9720, W08-2120:0.9714, C08-1055:0.9713, C04-1096:0.9713
W12-1012 ==> P06-2071:0.9426, W06-0601:0.9400, W08-1910:0.9040, C04-1092:0.8967, H05-1123:0.8952, P14-2018:0.8921, C02-1144:0.8718, N10-1125:0.8200, D09-1097:0.8158, L08-1077:0.7946
D14-1216 ==> N10-1039:0.9408, W14-2304:0.9200, W10-1822:0.9073, E09-1086:0.8976, W14-2303:0.8872, S13-2020:0.8860, W13-3208:0.8767, D09-1033:0.8702, W09-0213:0.8680, D13-1147:0.8664
W02-1704 ==> C02-2027:0.9898, C14-2013:0.9891, W06-2709:0.9887, C04-1061:0.9872, W03-0909:0.9871, N03-2011:0.9852, W04-0213:0.9766, W10-3210:0.9462, W08-0614:0.9418, W05-1610:0.9406
W14-3359 ==> C14-1105:0.9415, N13-1114:0.9415, W14-3317:0.9310, W14-3307:0.9289, E14-1003:0.9252, W14-5505:0.9229, S14-2030:0.9226, C14-1180:0.9202, C14-1182:0.9184, P13-1032:0.9180
W09-2804 ==> W11-1722:0.9234, P11-2113:0.8991, Q13-1008:0.8987, D14-1168:0.8844, W14-4408:0.8787, P14-2055:0.8708, P13-1100:0.8665, D11-1043:0.8628, P10-2055:0.8619, J11-1001:0.8599
W03-0418 ==> N04-1015:0.9318, P14-2099:0.8759, W02-1017:0.8620, W03-1016:0.8468, W06-1662:0.8379, P03-1069:0.8340, W05-1621:0.7984, W06-3407:0.7917, P05-1046:0.7910, C02-2009:0.7836
W09-3811 ==> W09-3825:0.9408, W13-1912:0.9397, D07-1120:0.9357, D14-1099:0.9354, E12-2012:0.9340, W06-2923:0.9337, P13-3001:0.9327, S12-1073:0.9252, C04-1042:0.9248, P13-4010:0.9235
W14-2603 ==> N13-1100:0.8634, P10-2050:0.8557, D08-1058:0.8524, S14-2149:0.8421, E14-4007:0.8415, D13-1171:0.8387, N13-1081:0.8322, L08-1160:0.8295, W14-3704:0.8257, W11-1704:0.8252
S14-1004 ==> W09-0308:0.9627, C08-1126:0.9507, L08-1275:0.9498, L08-1323:0.9336, S14-1020:0.9303, P07-2013:0.9252, S14-2079:0.9241, D14-1031:0.9155, L08-1182:0.9144, W13-2608:0.9109
N03-5006 ==> S10-1076:0.9566, W09-1302:0.9521, W00-0503:0.9450, P11-2047:0.9412, W07-2108:0.9404, P09-4002:0.9331, L08-1407:0.9311, W06-2107:0.9192, L08-1141:0.9131, C02-1031:0.9127
W03-2007 ==> W02-1703:0.9621, P06-2116:0.9346, W08-0508:0.9294, W09-0602:0.9251, W06-2801:0.9233, W07-0210:0.9229, J01-3004:0.9182, P99-1047:0.9098, W09-2606:0.9072, W09-0620:0.9022
J09-2001 ==> C04-1124:0.9802, W04-2118:0.9769, I05-1050:0.9753, D10-1105:0.9732, P07-2033:0.9717, N09-5005:0.9679, W14-4507:0.9662, D11-1093:0.9658, W06-1205:0.9607, W11-0806:0.9598
D10-1082 ==> C08-1049:0.9279, P11-1139:0.9154, P13-2110:0.9030, P12-1110:0.8993, P12-1025:0.8986, P12-1111:0.8962, P08-1102:0.8956, D12-1046:0.8955, P13-2031:0.8889, P07-1106:0.8881
I05-1080 ==> W07-2078:0.9350, N09-3015:0.9281, W06-2608:0.9266, W05-0608:0.9122, W00-0104:0.9032, W06-2604:0.9002, E06-2016:0.8954, J03-3006:0.8944, J10-1004:0.8931, W07-2074:0.8924
H05-1024 ==> P06-2112:0.9067, E06-1019:0.8958, P06-1123:0.8937, C04-1006:0.8932, W12-0215:0.8900, N06-1013:0.8861, D10-1052:0.8842, W10-2917:0.8828, D07-1006:0.8823, H05-1009:0.8816
P03-1058 ==> W04-2807:0.9629, W04-0811:0.8766, W00-0802:0.8447, W02-0805:0.8439, W07-1508:0.8316, W03-0406:0.8113, P02-1044:0.8051, L08-1339:0.8025, W02-1006:0.7899, S14-1005:0.7754
S12-1009 ==> D09-1142:0.8311, W09-0805:0.7858, L08-1437:0.7830, W11-1502:0.7426, L08-1292:0.7315, W05-1004:0.7305, D09-1070:0.7285, D10-1071:0.7238, W08-2117:0.7134, W12-3903:0.7128
P09-2086 ==> W13-2803:0.8965, W09-1505:0.8957, P14-1075:0.8952, P08-1058:0.8917, W11-2122:0.8902, D13-1023:0.8867, P11-1027:0.8836, D14-1098:0.8811, E12-1058:0.8777, D11-1104:0.8767
J11-3004 ==> W13-3518:0.9292, Q13-1002:0.9206, S14-2012:0.9185, S12-1058:0.9184, P13-2111:0.9156, P13-2109:0.9143, S12-1074:0.9121, P10-1151:0.9097, E09-1034:0.9077, D12-1067:0.9068
W14-2402 ==> N13-1133:0.9133, S14-2055:0.9087, P14-2051:0.8953, W10-2806:0.8935, P14-3010:0.8855, N12-1076:0.8838, S12-1089:0.8783, J12-1002:0.8779, W11-2507:0.8766, W14-5418:0.8710
D08-1099 ==> C10-2053:0.9916, W04-0506:0.9900, N07-1066:0.9893, W04-2508:0.9845, W04-0840:0.9817, W09-2703:0.9677, P06-1113:0.9639, W03-1122:0.9596, W06-1910:0.9593, N03-4010:0.9592
W10-3406 ==> P08-1052:0.9565, W07-2080:0.9548, P06-2021:0.9413, W07-2084:0.9388, S13-2028:0.9193, W07-2081:0.9166, P08-2047:0.9086, S12-1071:0.9019, W07-2083:0.8943, W10-0805:0.8928
H05-1002 ==> E03-1057:0.9784, E03-2004:0.9720, P05-2020:0.9584, P01-1036:0.9564, P00-1023:0.8923, W06-1612:0.8851, W06-2717:0.8589, W06-2112:0.8568, W04-1911:0.8403, E03-1054:0.8164
D09-1054 ==> P08-1081:0.9398, P14-1015:0.9134, W11-0503:0.9073, H05-2003:0.9009, P12-1058:0.8994, W10-2603:0.8936, P05-1037:0.8935, P08-1054:0.8897, P13-1137:0.8845, N04-4027:0.8793
C14-1009 ==> W13-3514:0.9294, S14-2071:0.9083, S13-2066:0.9016, Q14-1013:0.8994, D13-1189:0.8950, W13-1614:0.8885, D12-1014:0.8833, W14-2621:0.8800, W13-1611:0.8738, P13-2147:0.8721
N13-3006 ==> C00-1004:0.9285, P03-1061:0.9173, C02-2019:0.8950, W04-3230:0.8888, E09-2016:0.8755, P07-2056:0.8715, C14-2019:0.8640, L08-1535:0.8496, I08-3015:0.8422, C10-2040:0.8356
P06-1134 ==> P07-1054:0.9555, P08-2004:0.9241, S13-1042:0.9080, E09-1046:0.9035, P10-4013:0.8990, N09-2010:0.8972, W10-3208:0.8963, Q13-1009:0.8922, S10-1014:0.8910, C10-1134:0.8879
W10-3602 ==> D08-1077:0.9848, W07-0410:0.8921, W07-0406:0.8840, P13-2068:0.8698, D13-1174:0.8642, W13-2237:0.8642, C10-1035:0.8610, P09-2060:0.8594, D13-1023:0.8586, W13-2258:0.8570
I05-1055 ==> W06-1662:0.9173, W03-2804:0.8894, W04-2203:0.8877, N07-2013:0.8868, N04-4003:0.8837, L08-1147:0.8820, I05-5008:0.8744, I05-2042:0.8698, D14-1140:0.8678, P14-2099:0.8672
W07-2089 ==> W10-4161:0.9241, P14-1044:0.9007, W07-2075:0.8945, S10-1078:0.8925, P05-2025:0.8887, W10-4173:0.8821, N10-1088:0.8801, S13-2036:0.8663, W07-2069:0.8560, W09-1125:0.8502
D11-1019 ==> P11-1065:0.9426, C14-1210:0.9388, P12-1100:0.9385, C14-1195:0.9370, P14-2024:0.9343, D10-1043:0.9336, P13-2069:0.9329, W10-1761:0.9311, P10-1146:0.9295, W10-3814:0.9275
P09-4008 ==> N10-1052:0.9485, W09-3528:0.9470, W09-3539:0.9436, W09-3507:0.9429, D11-1103:0.9427, P10-1145:0.9426, L08-1040:0.9425, W08-0311:0.9425, C08-1115:0.9422, L08-1112:0.9409
I05-2043 ==> H05-1020:0.9643, W12-2306:0.9625, P09-2042:0.9621, W06-1709:0.9612, W00-1014:0.9611, W04-1702:0.9610, C04-1069:0.9605, P99-1079:0.9604, W07-0213:0.9599, P00-1054:0.9578
I08-3007 ==> D07-1068:0.3110, C02-1049:0.3108, J00-3004:0.3048, C10-2111:0.2960, P03-1070:0.2933, P13-1113:0.2885, P12-2046:0.2877, E09-1041:0.2808, I05-3017:0.2801, I08-4017:0.2792
N06-2024 ==> W06-0130:0.8914, L08-1535:0.8873, I08-4016:0.8862, W06-0140:0.8855, C04-1081:0.8824, I08-1044:0.8801, I05-3018:0.8664, P06-1126:0.8653, I08-4019:0.8587, N09-1007:0.8560
N13-1087 ==> W06-1645:0.9878, W05-1004:0.8925, H05-1061:0.8850, P07-1112:0.8475, L08-1292:0.8240, D09-1084:0.8192, N07-1043:0.8177, P05-3009:0.8138, P06-1081:0.8076, P06-4002:0.7987
E03-1025 ==> W04-2005:0.9312, W06-2302:0.9305, N03-3006:0.8804, W04-0913:0.8543, W06-0802:0.7729, P04-2007:0.7622, W07-1219:0.7454, C00-2100:0.7448, C02-1121:0.7380, E03-1087:0.7336
P06-1060 ==> I08-4004:0.9610, P06-2060:0.9013, C10-1105:0.8926, I08-1057:0.8749, N06-1010:0.8732, P05-2005:0.8719, P07-1068:0.8686, W06-2202:0.8662, W06-3802:0.8577, C04-1058:0.8557
L08-1451 ==> W12-1001:0.9436, W01-1014:0.9352, W01-1619:0.9351, P13-4011:0.9325, W02-0103:0.9310, W14-4342:0.9299, W12-1511:0.9287, C14-1161:0.9281, P99-1061:0.9278, W12-1601:0.9271
N06-1008 ==> P07-1057:0.9563, N06-1007:0.9311, E03-1061:0.9301, W05-1207:0.9266, C14-1135:0.8899, S10-1048:0.8803, W07-2081:0.8756, C08-1107:0.8734, P05-1014:0.8730, P07-2036:0.8726
L08-1368 ==> E14-1003:0.9386, W06-3120:0.9379, W07-0409:0.9303, W14-3331:0.9246, J06-4004:0.9227, W05-0823:0.9216, W06-3125:0.9190, P10-1153:0.9171, W09-0427:0.9161, W14-3317:0.9128
W13-2301 ==> N13-1049:0.8689, N10-1105:0.8634, W04-1612:0.8633, W12-6203:0.8629, L08-1361:0.8606, W14-3602:0.8598, W13-2813:0.8582, L08-1176:0.8550, W14-5312:0.8539, P06-1086:0.8477
J10-2003 ==> I08-1055:0.9725, E06-3005:0.9039, W05-0306:0.8382, W05-0312:0.8088, I08-7010:0.7980, P12-1008:0.7940, P13-1116:0.7826, W11-0812:0.7683, W14-0703:0.7621, W11-0414:0.7609
I08-6001 ==> C08-1007:0.9749, C08-1017:0.9724, P07-1110:0.9680, N09-2007:0.9675, N10-1070:0.9661, W06-1009:0.9649, W02-1037:0.9452, I08-2104:0.9438, W11-1217:0.9424, E03-1050:0.9415
D14-1114 ==> P12-1059:0.9534, D09-1156:0.8978, P11-1161:0.8943, C10-1095:0.8908, W09-2508:0.8883, I08-2126:0.8868, P09-1049:0.8796, D09-1099:0.8790, D12-1076:0.8753, C10-2110:0.8712
W07-0310 ==> W07-0308:0.9993, W09-3521:0.7180, W99-0108:0.7149, P06-1030:0.7139, W03-0810:0.7113, W07-1021:0.7108, W07-1417:0.7092, W02-1409:0.7089, W11-0110:0.7083, W02-1701:0.7059
W10-1403 ==> P09-3002:0.9296, P11-1160:0.9114, W13-2320:0.9034, W09-3812:0.8910, W11-0417:0.8827, P10-3018:0.8717, C10-2129:0.8717, N10-1093:0.8555, W14-4416:0.8550, W10-1411:0.8544
W10-2506 ==> W12-0802:0.9053, P12-2062:0.8965, W10-1756:0.8961, P09-1108:0.8960, D11-1081:0.8885, P10-1108:0.8868, P11-1085:0.8863, C14-1107:0.8849, D12-1079:0.8844, P09-1067:0.8835
W07-1607 ==> P11-1019:0.9581, C08-1022:0.9574, W12-2006:0.9395, W12-0910:0.9230, W13-1739:0.9174, W13-3608:0.9148, W10-1005:0.9140, W13-3617:0.9125, W12-2024:0.9081, W11-1412:0.9076
N07-1032 ==> H05-1050:0.9161, W09-1110:0.8608, W10-1206:0.8579, P05-1001:0.7946, D11-1056:0.7898, I08-1045:0.7838, P14-2063:0.7827, D09-1142:0.7782, W14-6205:0.7778, P14-2088:0.7777
W14-4424 ==> D09-1043:0.8673, P06-1130:0.8517, W05-1510:0.8517, W11-1609:0.8516, D10-1087:0.8472, W08-1703:0.8399, D12-1023:0.8390, C10-1053:0.8373, C08-1069:0.8288, C08-1038:0.8261
W07-1007 ==> W14-1202:0.9474, W09-3102:0.9120, W13-1503:0.8781, J10-2002:0.8578, W14-4812:0.8546, N10-1099:0.8511, J08-1001:0.8505, W12-2206:0.8500, N03-2024:0.8429, E09-1027:0.8413
P14-1055 ==> S13-2111:0.9153, S13-2112:0.8966, W11-0201:0.8913, S13-2058:0.8893, S13-2056:0.8773, S13-2109:0.8768, S13-2105:0.8716, L08-1072:0.8682, D10-1034:0.8566, C10-2143:0.8517
W07-1202 ==> W07-2203:0.9057, I05-1018:0.9056, S14-2064:0.9030, E14-1014:0.9011, S14-1014:0.8962, S10-1060:0.8869, D10-1068:0.8831, C10-2168:0.8828, W07-2206:0.8756, P11-1069:0.8741
W06-2903 ==> W13-3507:0.9298, E14-4032:0.9292, W06-1636:0.9237, P14-1099:0.9230, W11-0212:0.9125, D13-1195:0.9121, W05-0104:0.9094, D12-1096:0.9041, P08-2054:0.9039, P11-4015:0.9037
L08-1608 ==> W04-2502:0.9539, W06-1802:0.9528, I05-1046:0.9458, H05-1118:0.9454, W06-2609:0.9441, N04-1007:0.9398, I08-1054:0.9378, D09-1132:0.9297, W08-1806:0.9216, C04-1199:0.9197
S10-1033 ==> S10-1038:0.9620, S10-1035:0.9551, W06-3708:0.9397, D07-1081:0.9380, W02-1106:0.9271, N13-1064:0.9266, W05-0110:0.9257, W99-0613:0.9252, C00-2157:0.9237, D13-1104:0.9234
W07-2050 ==> C08-2028:0.8978, L08-1388:0.8927, P13-2044:0.8913, W09-3519:0.8911, W11-0130:0.8880, W09-3531:0.8855, L08-1335:0.8844, W03-0601:0.8824, D11-1127:0.8815, L08-1095:0.8765
W07-0208 ==> P03-2006:0.8987, D07-1065:0.8931, W04-0814:0.8781, W08-2137:0.8761, W05-1002:0.8745, E06-2013:0.8733, W05-0639:0.8685, W13-1201:0.8608, W08-2128:0.8571, D07-1027:0.8569
W04-2505 ==> W14-3006:0.8914, W07-1215:0.8770, W03-1207:0.8676, W05-1001:0.8613, C10-2107:0.8606, W06-3504:0.8579, W02-1024:0.8517, W08-1801:0.8514, W04-0857:0.8408, W04-0841:0.8362
S12-1042 ==> J12-2005:0.9362, W10-3106:0.9310, C10-1155:0.9292, S12-1036:0.9258, S12-1038:0.9186, D08-1075:0.9145, S12-1045:0.9117, W09-1105:0.9055, W12-3805:0.9040, W10-3007:0.8985
Q13-1014 ==> W13-3010:0.9283, P10-1033:0.9053, W13-2259:0.9046, P09-2060:0.9033, W13-2812:0.8998, W09-0426:0.8967, W10-3813:0.8961, C10-1056:0.8902, D12-1041:0.8896, C10-1075:0.8889
C10-1069 ==> W13-2252:0.8888, W09-0403:0.8701, W13-2235:0.8638, W11-2108:0.8623, W14-3353:0.8598, W12-0111:0.8597, W10-3806:0.8596, P13-2008:0.8530, W14-3320:0.8514, W13-2216:0.8509
W14-4408 ==> D14-1168:0.9549, P09-2045:0.9378, W04-3256:0.9344, C10-1039:0.9333, E06-1039:0.9236, N03-1037:0.9139, P14-2041:0.9070, P11-1036:0.9062, P08-1036:0.8962, W12-3715:0.8952
N07-2046 ==> I08-4013:0.9394, W03-1504:0.9354, W12-2408:0.9333, W07-1712:0.9273, P05-3015:0.9234, C04-1058:0.9126, I08-1057:0.9112, L08-1267:0.9074, W14-5512:0.9072, I08-5014:0.9044
W11-1913 ==> W12-4505:0.9308, W11-1905:0.9245, N13-2001:0.9204, W06-2906:0.8992, D13-1029:0.8978, P13-1049:0.8967, P09-5006:0.8954, W12-4511:0.8952, W12-4507:0.8951, W12-4513:0.8923
D09-1096 ==> N07-1041:0.9757, N10-1142:0.8772, W04-1008:0.8437, W13-4032:0.8008, W04-3241:0.7950, W06-3406:0.7903, P02-1026:0.7788, W03-1009:0.7779, L08-1359:0.7747, N09-1075:0.7706
C14-1017 ==> L08-1395:0.8998, W10-4121:0.8929, D14-1128:0.8890, P08-2034:0.8888, S14-2087:0.8851, S14-2106:0.8846, S14-2042:0.8767, W13-2513:0.8750, E14-4039:0.8735, W11-1702:0.8703
P12-1033 ==> W09-1804:0.9302, W11-0320:0.9125, P14-1138:0.8982, E14-4035:0.8967, W10-1721:0.8885, Q13-1024:0.8863, J10-3007:0.8845, C10-1084:0.8823, C10-1106:0.8809, P11-2029:0.8802
N10-1076 ==> W09-0804:0.9071, D10-1079:0.8976, E14-3012:0.8918, D07-1116:0.8876, W14-3610:0.8844, W10-2417:0.8795, N09-1045:0.8723, W05-0711:0.8714, W14-3602:0.8709, L08-1361:0.8704
W11-1815 ==> W11-1809:0.9886, W12-2426:0.9275, W10-1804:0.9128, C10-2087:0.9111, D07-1024:0.9077, W08-0601:0.9069, W07-1503:0.9029, W08-0603:0.9000, S10-1074:0.8994, W14-0618:0.8971
C10-2142 ==> P09-2019:0.9703, P07-1028:0.9189, N10-1058:0.9186, W05-0633:0.8961, W05-0621:0.8904, P10-1046:0.8899, E06-1044:0.8898, E03-1034:0.8830, W05-0631:0.8824, W06-2611:0.8809
P01-1008 ==> W02-1022:0.8935, N01-1009:0.8876, N03-1024:0.8847, N03-1003:0.8786, C02-1134:0.7938, I05-5003:0.7722, C10-2115:0.7720, P13-1119:0.7656, W03-1606:0.7653, P12-3025:0.7534
D12-1133 ==> W13-4916:0.8925, D13-1032:0.8884, W13-4908:0.8833, N12-1032:0.8790, P14-1125:0.8769, C14-1076:0.8722, W14-6102:0.8719, W13-4905:0.8705, Q13-1004:0.8692, P14-2107:0.8682
W13-3521 ==> E12-2003:0.9535, W14-3617:0.9527, W14-4806:0.9490, S12-1015:0.9407, E14-2013:0.9395, W14-0817:0.9387, W14-3629:0.9352, W14-4009:0.9342, L08-1110:0.9339, D14-1174:0.9326
W06-3904 ==> P06-1052:0.9893, P06-2032:0.9830, E06-2005:0.9828, P14-5009:0.9828, C08-1032:0.9822, W13-2131:0.9821, L08-1023:0.9814, P03-1047:0.9813, W14-2202:0.9807, P05-2024:0.9804
W05-1510 ==> J12-4006:0.9010, E09-1014:0.8970, P06-1130:0.8854, P11-2034:0.8844, W11-2708:0.8830, W05-1511:0.8631, W08-1112:0.8539, W14-4424:0.8517, W11-1609:0.8487, W08-1703:0.8471
J01-1005 ==> P03-1043:0.9618, C04-1078:0.9328, C02-1088:0.9134, I05-3006:0.9022, N03-2025:0.8875, W04-0846:0.8444, W03-0808:0.8406, I05-2045:0.8398, W05-1307:0.8396, L08-1135:0.8375
J05-1003 ==> W04-3223:0.7455, W08-0130:0.7272, W03-1020:0.7094, H05-1100:0.6792, W06-1666:0.6776, P05-1023:0.6689, S13-2009:0.6655, W06-3801:0.6640, W03-1012:0.6626, W05-1515:0.6598
D14-1053 ==> C10-2167:0.8602, S14-2051:0.8416, P14-2084:0.8410, J11-1002:0.8393, C14-1065:0.8390, S14-2090:0.8304, D11-1123:0.8301, D14-1169:0.8296, S14-2140:0.8249, P10-2049:0.8189
W11-0320 ==> W12-0215:0.9467, P13-1003:0.9330, W09-1804:0.9256, P11-2029:0.9246, W10-2913:0.9225, W10-3813:0.9136, P12-1033:0.9125, P10-1033:0.9097, P11-2066:0.9069, N12-1004:0.9027
W01-0710 ==> P02-1016:0.9248, J04-3001:0.7925, W00-1306:0.7619, N03-1031:0.7531, W04-3202:0.7497, W03-0408:0.7449, N04-1012:0.7220, N01-1023:0.7140, P00-1016:0.6872, C10-1107:0.6786
W04-0847 ==> C02-1143:0.9777, W05-0401:0.9769, P06-4010:0.9720, W07-2065:0.9675, I05-3012:0.9633, W02-0813:0.9628, W03-1708:0.9560, C02-1097:0.9205, W04-2424:0.9030, P04-1038:0.8932
W03-1712 ==> I05-2003:0.9450, P01-1062:0.9421, E99-1003:0.9382, P05-3024:0.9369, J99-1002:0.9366, P01-1021:0.9349, W10-1009:0.9349, I05-3015:0.9338, C00-2098:0.9331, P05-2002:0.9304
D12-1018 ==> C08-1107:0.9292, P10-2045:0.9061, W07-1703:0.8937, P12-1013:0.8890, W05-0205:0.8874, W04-0505:0.8834, P06-1107:0.8826, H05-1076:0.8803, P13-2051:0.8791, W09-2504:0.8788
C08-1084 ==> S10-1059:0.9381, W14-3001:0.9357, W11-0908:0.9332, W07-2017:0.9322, S10-1008:0.9319, S10-1065:0.9243, W09-2417:0.9241, S10-1066:0.9170, W11-0410:0.9133, W09-2603:0.9039
W13-2323 ==> W11-0404:0.8415, W10-0703:0.8044, E12-1039:0.7994, W14-4716:0.7913, P12-3012:0.7756, W13-2324:0.7723, S14-2003:0.7643, W12-0105:0.7635, P06-2028:0.7624, W04-0848:0.7615
W04-0103 ==> W07-1309:0.9323, W05-0502:0.9205, N06-2002:0.9202, E12-1053:0.9064, W10-1613:0.9043, W09-3536:0.9018, W12-6202:0.8998, W13-3006:0.8974, W12-6212:0.8966, P00-1078:0.8963
W04-0305 ==> E03-1002:0.9301, P11-2110:0.9184, C02-1157:0.9176, W06-1636:0.9143, P06-2113:0.9115, W03-1021:0.9084, W06-3315:0.9074, H01-1072:0.9067, P01-1045:0.9052, E06-2025:0.8983
W11-2202 ==> W14-3108:0.8551, D13-1029:0.8546, P11-1080:0.8490, S12-1028:0.8470, W13-3517:0.8436, S14-2066:0.8408, P12-1072:0.8384, N10-1061:0.8375, P13-2117:0.8356, P08-2012:0.8345
W02-1817 ==> W03-1730:0.9771, I05-3026:0.9486, W03-1723:0.9393, E03-1081:0.8899, I05-1047:0.8663, I05-3028:0.8485, P06-2056:0.8458, W04-1109:0.8390, W06-0131:0.8367, W10-4139:0.8349
S14-2141 ==> S13-1002:0.8556, C10-2041:0.8267, L08-1549:0.8082, W07-2029:0.8024, S14-2044:0.7995, D13-1198:0.7990, W14-2402:0.7918, S14-2055:0.7861, W13-3209:0.7855, S13-1040:0.7783
L08-1210 ==> W09-0306:0.9447, P07-1115:0.9328, P08-3010:0.9262, N13-1024:0.9082, P05-1076:0.8810, N03-3006:0.8798, D09-1138:0.8710, P04-2007:0.8697, P08-1050:0.8521, P12-1044:0.8396
W09-2905 ==> P11-1133:0.9268, W09-3407:0.9250, I08-2120:0.9242, W09-3502:0.9241, W09-3520:0.9211, W10-2404:0.9181, L08-1216:0.9137, C10-1092:0.9118, W02-1201:0.9097, W09-3110:0.9096
P07-1084 ==> W04-1814:0.9808, I08-1013:0.9699, E06-1029:0.9652, C02-2020:0.9618, I05-1062:0.9536, P03-2020:0.9535, I05-2020:0.9386, W13-2503:0.9370, W11-1205:0.9283, P13-2133:0.9239
S12-1073 ==> P13-4010:0.9488, W14-6108:0.9485, E12-1007:0.9463, W14-0803:0.9452, N13-1031:0.9414, W10-1411:0.9383, D07-1125:0.9371, W07-2220:0.9368, D07-1098:0.9367, C14-1133:0.9357
W14-4103 ==> W14-2501:0.9551, P12-1094:0.9147, W14-4324:0.9140, N09-1072:0.9124, W11-0609:0.9045, D09-1035:0.8980, P14-1017:0.8928, W11-2032:0.8894, P08-1020:0.8748, P06-2081:0.8658
P09-1059 ==> E14-1018:0.9065, P12-1110:0.8665, P13-2031:0.8625, P12-1025:0.8587, D13-1062:0.8563, C14-2009:0.8505, E09-1031:0.8315, Q13-1025:0.8217, D12-1038:0.8213, D13-1061:0.8209
W04-2413 ==> W04-2414:0.9295, W04-2420:0.9232, H05-1084:0.9230, W04-2419:0.9210, W08-2111:0.9099, W05-0621:0.9093, W04-2418:0.9076, W04-2422:0.9052, I05-1070:0.9046, W05-0632:0.9043
W13-1410 ==> W12-2508:0.7715, C08-1065:0.7407, P10-2008:0.7388, P09-2081:0.7320, P04-1026:0.7252, W13-1107:0.7198, D12-1139:0.7186, W08-1701:0.7175, W13-1735:0.7134, C04-1139:0.7117
P12-2019 ==> W07-0604:0.9240, C14-1203:0.9068, C14-1202:0.8685, N09-1006:0.8582, W11-0612:0.8571, W13-1701:0.8568, W13-1911:0.8562, D12-1004:0.8553, W08-0626:0.8524, W11-0506:0.8485
P03-2030 ==> N03-2022:0.9902, C04-1018:0.8707, L08-1160:0.8687, W06-0301:0.8495, N09-3003:0.8318, P07-2037:0.8278, P06-4009:0.8277, W05-1527:0.8274, N06-4005:0.8255, E06-2003:0.8247
W05-0703 ==> W07-0802:0.9869, P07-1117:0.9855, W07-0801:0.9843, P00-1025:0.9830, W01-0711:0.9818, J00-1006:0.9808, J01-1003:0.9776, P06-1086:0.9738, W09-0803:0.9729, W09-0802:0.9705
N04-1016 ==> W05-0603:0.9104, H05-1105:0.8489, W04-2010:0.8424, N09-2018:0.8401, W09-2409:0.8218, H05-1015:0.8114, P03-1059:0.8062, I05-2018:0.8045, C10-1137:0.7883, W14-5708:0.7695
W06-1661 ==> E09-1014:0.8566, W11-2708:0.8545, W05-1510:0.8350, W08-1112:0.8341, P11-2034:0.8319, P07-1042:0.8288, W08-1703:0.8217, W07-0710:0.8019, S12-1022:0.7892, I05-6011:0.7816
W14-3626 ==> P14-2076:0.9304, C14-1196:0.9296, C14-1119:0.9275, C10-1150:0.9260, W12-0508:0.9151, W14-6202:0.9105, P11-1138:0.9099, D12-1076:0.9080, P14-2078:0.9076, N13-1122:0.9046
P05-1029 ==> W02-0222:0.9930, C02-1135:0.9914, W03-2106:0.9914, W03-2103:0.9882, W02-0203:0.9875, W00-1109:0.9822, P00-1018:0.9795, W01-1616:0.9793, P01-1031:0.9740, W00-0302:0.9669
I08-2132 ==> W05-0632:0.9658, H05-1084:0.9314, W05-0621:0.9233, W05-0622:0.9226, W08-2111:0.9226, I05-1070:0.9210, W06-1518:0.9188, C10-2077:0.9137, W05-0628:0.9111, H05-2004:0.9106
S14-2110 ==> P13-2053:0.8652, D14-1042:0.8610, N07-1044:0.8594, S10-1054:0.8500, S10-1028:0.8486, S10-1025:0.8470, W09-2412:0.8458, S13-2032:0.8449, W07-2035:0.8432, N13-1079:0.8419
