C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
P12-3025 ==> P13-1119:0.9793, C10-2115:0.9572, C08-3006:0.9005, N03-2013:0.8727, W03-1611:0.8701, L08-1402:0.8605, D14-1140:0.8597, C04-1184:0.8444, P06-2096:0.8199, I05-5008:0.8156
W01-1405 ==> H01-1062:0.7894, W12-3111:0.7744, I05-1042:0.7723, D07-1055:0.7570, W14-3338:0.7531, P00-1004:0.7525, W02-1405:0.7517, W05-0827:0.7399, N07-2015:0.7354, E09-1008:0.7077
C14-1139 ==> L08-1304:0.9235, S10-1040:0.9226, W10-3306:0.8925, D10-1036:0.8680, S10-1037:0.8554, D09-1027:0.8523, E14-3011:0.8468, S10-1034:0.8458, W07-0203:0.8457, I05-2004:0.8451
I05-3005 ==> N06-1041:0.8501, I08-7003:0.8203, I08-4021:0.7897, W04-3236:0.7616, W06-0104:0.7500, A00-2005:0.7348, C10-2016:0.7211, I08-2130:0.7184, I08-4024:0.6812, P05-1046:0.6807
D14-1177 ==> C10-1003:0.8392, P11-2083:0.8383, E14-4022:0.8335, D12-1003:0.8311, N13-1011:0.7838, W14-1016:0.7728, P13-1040:0.7674, W11-1203:0.7672, W13-3523:0.7586, P14-1121:0.7584
W02-0601 ==> W05-0503:0.9758, W05-0504:0.9613, W06-3205:0.9571, W03-2907:0.9427, W02-0605:0.9270, W04-0105:0.9152, W06-3210:0.9150, C04-1152:0.9132, W04-0106:0.9115, P03-1036:0.9009
C08-2029 ==> L08-1090:0.9815, W10-4221:0.9756, W09-0634:0.9755, D07-1011:0.9726, W08-1138:0.9705, W09-0630:0.9704, W00-1416:0.9678, W08-2120:0.9658, W06-1410:0.9630, W06-1409:0.9621
W12-1012 ==> P06-2071:0.8821, N10-1125:0.8775, W06-0601:0.8698, W14-5410:0.8684, H05-1123:0.8360, C04-1092:0.8301, W02-2009:0.8198, W03-0601:0.8177, P08-1032:0.7924, W08-1910:0.7706
D14-1216 ==> S13-2018:0.8963, W09-0213:0.8851, D14-1145:0.8829, W10-1822:0.8629, W07-1106:0.8547, S13-2020:0.8540, W14-2304:0.8535, N10-1039:0.8534, E09-1086:0.8422, D13-1145:0.8255
W02-1704 ==> C02-2027:0.9927, W03-0909:0.9679, N03-2011:0.9674, C04-1061:0.9547, C14-2013:0.9462, W06-2709:0.9411, W04-0213:0.9292, W07-1525:0.8160, P06-3008:0.8073, W13-2313:0.8020
W14-3359 ==> W13-2803:0.9133, N13-1114:0.9067, W14-3363:0.8437, W14-3317:0.8381, D14-1098:0.8330, E12-1058:0.8254, C10-1075:0.8170, W10-1759:0.8096, N09-2038:0.8080, P08-1075:0.8047
W09-2804 ==> W11-1722:0.8248, W08-0127:0.8241, W12-2606:0.8235, D13-1068:0.8193, C08-1062:0.8104, P10-2055:0.8093, L08-1389:0.8066, E09-2002:0.8057, C08-2006:0.8029, J11-1001:0.8019
W03-0418 ==> N04-1015:0.9059, P03-1069:0.8065, W02-1017:0.7808, W03-1016:0.7667, P14-2099:0.7649, P05-1046:0.7359, W05-1621:0.7245, P06-1003:0.7220, W01-0802:0.7180, W00-1429:0.7084
W09-3811 ==> D07-1120:0.8928, C00-2143:0.8597, W09-3822:0.8536, W04-0812:0.8515, E12-2012:0.8292, W09-3824:0.8176, D07-1125:0.8152, W14-6109:0.8109, D07-1124:0.7974, D07-1123:0.7949
W14-2603 ==> E14-1040:0.7712, P11-2101:0.7584, S14-2129:0.7260, W11-0145:0.7216, N07-1037:0.7122, E14-4007:0.7056, W12-3713:0.6913, W14-5903:0.6896, D14-1125:0.6883, N09-1001:0.6855
S14-1004 ==> L08-1275:0.9840, D14-1031:0.9781, W10-1610:0.9754, W09-0308:0.9725, C08-1126:0.9618, L08-1323:0.9444, W09-1123:0.9129, N12-2007:0.8906, L08-1168:0.8810, P12-1074:0.8591
N03-5006 ==> W07-2108:0.9559, W10-1920:0.9088, C04-1008:0.9034, W02-0209:0.9024, S10-1076:0.8876, W01-1315:0.8854, C08-3012:0.8840, E03-2002:0.8818, W06-2107:0.8801, P11-2023:0.8791
W03-2007 ==> W02-1703:0.9481, W03-2003:0.9291, W09-0602:0.9245, W08-0508:0.9206, J01-3004:0.9010, P06-2116:0.8717, W06-2801:0.8675, W07-0210:0.8618, I05-5005:0.8327, J03-2003:0.8324
J09-2001 ==> I05-1050:0.9548, C04-1124:0.9477, W04-2118:0.9381, W06-1205:0.9345, W11-0806:0.9310, W03-1808:0.9188, W04-0411:0.9059, D10-1105:0.9042, P07-2033:0.9018, D11-1093:0.8985
D10-1082 ==> P14-2042:0.9049, P12-1110:0.8704, P11-1139:0.8657, P08-1102:0.8585, P07-1106:0.8552, P12-1025:0.8507, P08-1101:0.8488, D12-1046:0.8317, P13-1013:0.8304, P09-1058:0.8227
I05-1080 ==> S10-1083:0.8685, W04-0829:0.8667, W06-2007:0.8485, W04-0820:0.8482, W11-0128:0.8392, W08-0611:0.8372, W07-2059:0.8075, C10-2098:0.8047, C08-1102:0.7991, W07-2068:0.7875
H05-1024 ==> W05-0809:0.8116, P06-1123:0.8090, W05-0810:0.8051, W05-0812:0.7701, L08-1185:0.7673, C08-2026:0.7658, W09-2303:0.7642, W06-3107:0.7608, W09-2308:0.7551, W10-2917:0.7422
P03-1058 ==> W04-2807:0.9465, W04-0811:0.8670, W02-0805:0.8341, W00-0802:0.8146, W04-2704:0.7666, W07-1508:0.7637, W02-1006:0.7499, P02-1044:0.7497, W02-1004:0.6928, W00-1322:0.6783
S12-1009 ==> C14-1097:0.6654, P09-2018:0.6506, D10-1071:0.6446, J04-4003:0.6428, W07-0813:0.6173, P08-1083:0.6145, P06-1084:0.6132, P14-2049:0.6121, E14-1071:0.6100, D11-1130:0.6098
P09-2086 ==> D13-1023:0.9078, P08-1058:0.8723, W13-3008:0.8517, P12-3008:0.8495, P14-1075:0.8443, D10-1026:0.8413, W09-2012:0.8367, D11-1104:0.8316, E12-1058:0.8311, P11-1027:0.8299
J11-3004 ==> Q13-1022:0.8723, Q13-1002:0.8705, D12-1044:0.8629, J13-2004:0.8433, N09-1038:0.8251, E09-1034:0.8219, N07-2016:0.8072, N10-1118:0.8036, P08-1110:0.8030, W06-1517:0.7948
W14-2402 ==> S14-1021:0.8508, W12-1008:0.8346, W09-0215:0.8175, N13-1134:0.8133, S14-2001:0.8091, W14-1817:0.8075, S12-1089:0.8051, W11-1301:0.8012, W14-5418:0.7953, E14-4008:0.7902
D08-1099 ==> C10-2053:0.9660, N07-1066:0.9543, W04-0506:0.9484, W06-1910:0.9400, W04-0840:0.9271, W04-2508:0.9209, N03-4010:0.9113, W09-2703:0.9053, W04-0810:0.9042, N03-1007:0.8903
W10-3406 ==> W07-2080:0.9373, S10-1052:0.9182, W07-2103:0.9004, W07-2081:0.8979, P08-1052:0.8934, S10-1044:0.8827, W11-0903:0.8768, W10-0805:0.8740, S10-1051:0.8735, S10-1048:0.8724
H05-1002 ==> P01-1036:0.9596, P05-2020:0.9500, E03-1057:0.9495, E03-2004:0.9394, W06-1612:0.8890, L08-1079:0.8117, E06-2027:0.7986, W06-2717:0.7591, N07-1002:0.7569, P00-1023:0.7532
D09-1054 ==> P08-1081:0.9070, W10-1902:0.8643, P12-1058:0.8634, H05-2003:0.8400, W10-2603:0.8254, W06-1643:0.8130, C04-1128:0.7982, N07-4005:0.7949, P05-1037:0.7914, W08-0112:0.7912
C14-1009 ==> N10-3009:0.7679, S14-2148:0.7659, D14-1125:0.7653, W12-0413:0.7602, E14-1040:0.7519, E14-1010:0.7518, W12-3717:0.7422, P13-1161:0.7391, D12-1122:0.7345, W11-1713:0.7258
N13-3006 ==> L08-1535:0.8967, E09-2016:0.8155, P03-1061:0.8130, W04-3230:0.8102, P07-2056:0.7974, W09-3501:0.7970, C02-2019:0.7969, C14-2019:0.7757, C00-1004:0.7750, C04-1066:0.7682
P06-1134 ==> P07-1054:0.8456, N09-1002:0.8091, D11-1100:0.8071, W11-1717:0.8056, C08-1104:0.8044, E09-1046:0.7913, N09-1001:0.7819, S14-2053:0.7689, D09-1020:0.7666, P07-1123:0.7652
W10-3602 ==> D08-1077:0.9785, W07-0406:0.8187, N10-1107:0.7979, P05-1033:0.7600, W06-3109:0.7512, W09-0416:0.7388, I05-1051:0.7383, L08-1566:0.7376, P09-2060:0.7364, W07-0410:0.7358
I05-1055 ==> W06-1662:0.9135, P06-1049:0.9047, P13-2016:0.8792, P14-2099:0.8378, J09-1003:0.8305, N06-2017:0.8290, N09-3014:0.8226, W13-3105:0.8191, I05-2042:0.8182, N04-4003:0.8167
W07-2089 ==> W07-2104:0.8171, W10-4159:0.8162, W07-2019:0.8162, W07-2079:0.8123, P09-2091:0.8120, W07-2069:0.8076, W07-2075:0.8031, W07-2073:0.7982, L08-1551:0.7926, W13-5003:0.7891
D11-1019 ==> W11-2166:0.9101, P11-2073:0.8981, C10-2154:0.8857, P09-1020:0.8845, P09-2032:0.8827, P09-1063:0.8799, C14-1195:0.8742, D13-1052:0.8735, P13-1080:0.8727, W11-1011:0.8698
P09-4008 ==> W10-3508:0.8039, P07-2008:0.8033, C08-1115:0.7629, N10-1017:0.7520, C02-2020:0.7494, I05-1059:0.7479, S12-1098:0.7415, W09-3519:0.7403, W11-1211:0.7379, C08-1013:0.7322
I05-2043 ==> W10-4124:0.8044, W13-4018:0.8002, W10-4304:0.7998, W09-3926:0.7978, W09-3918:0.7954, W02-0405:0.7951, N13-1064:0.7936, W04-1616:0.7906, W11-0121:0.7880, W12-1819:0.7873
I08-3007 ==> W04-0102:0.9654, W05-0503:0.8888, W04-0105:0.8886, E06-2023:0.8809, C10-1110:0.8793, W06-3205:0.8744, W02-0601:0.8743, W06-3208:0.8684, J11-2002:0.8563, W03-2907:0.8499
N06-2024 ==> W08-0336:0.8145, H05-1056:0.8126, C04-1081:0.7603, W06-0140:0.7593, I08-4016:0.7382, C14-2019:0.7324, P10-1014:0.7244, W10-4103:0.7222, W06-0116:0.7200, W10-4138:0.7187
N13-1087 ==> W06-1645:0.9903, H05-1061:0.8994, P06-1081:0.8632, P06-4002:0.8421, P04-3006:0.8314, W05-1004:0.8205, L08-1292:0.8083, P05-3009:0.8050, N06-2037:0.8012, D09-1084:0.7994
E03-1025 ==> N03-3006:0.8650, W04-2005:0.8629, W06-2302:0.8627, W04-0913:0.8619, W09-3306:0.7279, C02-1121:0.7260, C04-1123:0.7245, P07-3003:0.7236, P05-3017:0.7009, W06-0802:0.6994
P06-1060 ==> I08-4004:0.8775, H05-1048:0.8390, P07-1068:0.8035, W11-1921:0.8029, D09-1128:0.7988, D10-1033:0.7969, W07-0804:0.7958, W07-0803:0.7829, P06-2060:0.7762, C10-1105:0.7703
L08-1451 ==> W10-1835:0.9522, W12-1001:0.9502, W11-1505:0.8674, W06-3708:0.8360, W06-3711:0.8260, P01-1065:0.8231, W13-4067:0.8135, W13-4073:0.8133, W02-0106:0.8106, W99-0104:0.8043
N06-1008 ==> P07-1057:0.9195, E03-1061:0.8769, N06-1007:0.8467, P09-2018:0.8102, D12-1018:0.8069, P06-1107:0.8037, D07-1017:0.7964, P10-3017:0.7945, P05-1014:0.7906, P08-1090:0.7902
L08-1368 ==> W07-0409:0.8634, W09-0427:0.8362, W05-0827:0.7958, D11-1080:0.7938, E09-1043:0.7862, W08-0310:0.7773, N09-1021:0.7748, L08-1113:0.7558, W08-0315:0.7524, I05-1042:0.7480
W13-2301 ==> N13-1049:0.8269, W12-2301:0.8002, W14-3602:0.7805, N09-1045:0.7728, P10-2063:0.7711, N10-1105:0.7674, P11-2062:0.7661, W14-5312:0.7606, W12-6203:0.7537, P11-1088:0.7464
J10-2003 ==> I08-1055:0.9828, E06-3005:0.8644, W05-0306:0.8328, W05-0301:0.7913, W10-1840:0.7544, W05-0312:0.7356, I08-7009:0.7193, E12-2001:0.7168, P14-1092:0.7168, W14-4916:0.7128
I08-6001 ==> N09-2007:0.9817, C08-1007:0.9721, W06-1009:0.9707, C08-1017:0.9691, L08-1582:0.9659, P07-1110:0.9589, N10-1070:0.9567, W12-2505:0.8709, J05-4003:0.8694, C08-1030:0.8446
D14-1114 ==> P12-1059:0.9647, D14-1117:0.8228, C10-1105:0.8029, P11-1097:0.7964, D13-1042:0.7321, D13-1039:0.7264, W09-1703:0.7241, E14-4014:0.7240, P09-1049:0.7045, W10-0728:0.6972
W07-0310 ==> W07-0308:0.9995, W09-3930:0.6566, W08-0212:0.6516, W06-0603:0.6512, J07-1002:0.6491, L08-1330:0.6467, W04-3003:0.6427, P05-3017:0.6422, W07-1511:0.6418, W06-2506:0.6347
W10-1403 ==> W10-1411:0.9369, P10-3018:0.9204, N10-1093:0.8954, P09-3002:0.8583, P13-2107:0.8463, W12-3407:0.8295, W13-4911:0.8275, I08-2099:0.8199, W13-2320:0.8183, W11-0417:0.8065
W10-2506 ==> P09-1067:0.8781, W12-0802:0.8695, P10-1108:0.8487, P09-1064:0.8354, P09-1108:0.8348, N12-1062:0.8315, D11-1085:0.8281, N10-1139:0.8256, P10-2037:0.8224, N06-1045:0.8112
W07-1607 ==> C08-1022:0.9103, P11-1019:0.8845, W12-2035:0.8586, P06-4020:0.8549, W10-2107:0.8527, W12-0910:0.8475, P06-2006:0.8453, W13-3612:0.8423, L08-1306:0.8400, W12-0905:0.8376
N07-1032 ==> H05-1050:0.8619, P09-2001:0.7795, I08-1045:0.7592, W07-1712:0.7576, W14-6205:0.7413, P06-1072:0.7141, W06-0112:0.7085, W10-1206:0.7021, P12-1065:0.6983, W14-5803:0.6971
W14-4424 ==> C10-1053:0.8086, P08-1022:0.7951, D12-1023:0.7901, W09-1508:0.7896, P14-1039:0.7805, D09-1043:0.7772, P13-2107:0.7690, C08-1038:0.7521, D10-1087:0.7376, C10-2119:0.7346
W07-1007 ==> W14-1202:0.9422, W09-3102:0.9062, W08-2140:0.8863, W13-1503:0.8270, N03-2024:0.8191, E09-1027:0.7896, W13-2908:0.7710, N10-1099:0.7700, W12-2206:0.7657, N04-3001:0.7625
P14-1055 ==> D10-1034:0.7253, W13-3502:0.7230, C08-1059:0.7094, W10-0101:0.7073, C10-1107:0.7036, W09-1118:0.6997, P09-1001:0.6972, W14-3410:0.6800, N09-2035:0.6795, L08-1367:0.6707
W07-1202 ==> S14-1014:0.7771, S14-2064:0.7699, W14-2406:0.7657, P07-1032:0.7627, P06-1088:0.7614, W14-5205:0.7582, D11-1115:0.7550, W08-2222:0.7542, C10-2051:0.7538, P07-2009:0.7498
W06-2903 ==> E14-4032:0.9270, P04-1058:0.8688, P14-1099:0.8678, W11-0212:0.8673, P06-2048:0.8672, W05-0211:0.8510, W13-3507:0.8463, I05-6006:0.8388, P08-2054:0.8359, P11-4015:0.8327
L08-1608 ==> P07-1097:0.9288, N07-2055:0.8958, N07-1027:0.8894, L08-1169:0.8872, N10-1041:0.8855, D09-1132:0.8820, W06-2609:0.8631, I05-1046:0.8628, N06-1049:0.8568, L08-1442:0.8455
S10-1033 ==> S10-1038:0.9959, S10-1039:0.9933, S10-1035:0.9931, W02-0101:0.7926, W13-2606:0.7821, S10-1031:0.7749, L08-1199:0.7748, W09-3918:0.7689, E03-3002:0.7683, W13-4041:0.7642
W07-2050 ==> D13-1198:0.8709, N13-1133:0.8384, W07-2035:0.8318, W10-1505:0.8210, C08-1117:0.8076, W02-0816:0.8015, W11-0130:0.8010, P06-1057:0.7984, C04-1177:0.7967, W09-2401:0.7906
W07-0208 ==> C10-2156:0.8269, W07-1212:0.8211, L08-1240:0.8202, L08-1597:0.8126, P10-2030:0.8112, P09-1084:0.8109, W07-1517:0.7936, W06-2611:0.7893, N07-1069:0.7880, W09-0504:0.7827
W04-2505 ==> W08-1801:0.7938, W01-1206:0.7725, W04-2506:0.7714, W14-3006:0.7689, W07-1215:0.7667, W04-0840:0.7297, W05-0205:0.7293, W03-1207:0.7287, W04-2502:0.7258, W06-1415:0.7235
S12-1042 ==> J12-2005:0.8956, S12-1041:0.8761, S12-1043:0.8731, S12-1044:0.8608, W10-3106:0.8535, W12-3805:0.8530, J12-2002:0.8504, W10-3005:0.8494, W10-3007:0.8471, S12-1045:0.8437
Q13-1014 ==> W14-3301:0.7824, W11-2113:0.7372, E14-1047:0.7294, W12-3107:0.7180, W13-2255:0.7131, P13-3019:0.7109, W10-1726:0.7102, W13-2260:0.7080, S12-1100:0.6959, W11-2112:0.6939
C10-1069 ==> P12-1103:0.7967, D12-1058:0.7895, C10-1149:0.7833, D11-1009:0.7780, P12-2008:0.7778, W11-1004:0.7721, P10-2001:0.7702, P08-1089:0.7681, E12-1002:0.7621, P11-2096:0.7501
W14-4408 ==> W09-3941:0.9085, W13-2125:0.7938, C10-1039:0.7862, W12-0504:0.7793, W09-0613:0.7732, P10-2060:0.7729, W12-1522:0.7695, W12-1508:0.7604, W13-2132:0.7600, W13-2110:0.7598
N07-2046 ==> P05-3015:0.8706, P05-1051:0.8539, W12-2408:0.8488, W13-2414:0.8404, W14-5407:0.8363, P05-1062:0.8362, W06-2203:0.8334, W14-3401:0.8285, L08-1267:0.8261, I08-5014:0.8218
W11-1913 ==> W12-4504:0.8599, W12-4508:0.8543, W12-2501:0.8442, P10-1142:0.8435, W11-1905:0.8430, W12-4511:0.8371, W11-1917:0.8298, P09-5006:0.8261, W11-1901:0.8234, D12-1114:0.8231
D09-1096 ==> N07-1041:0.9887, W04-1008:0.8616, N10-1142:0.8221, W04-3241:0.8108, P02-1026:0.7851, W03-1009:0.7837, L08-1359:0.7717, W14-4425:0.7604, W10-2006:0.7573, W04-2002:0.7562
C14-1017 ==> D11-1014:0.8826, S14-2106:0.8802, P12-2018:0.8770, E14-4039:0.8308, C14-1018:0.8283, E14-1051:0.8174, W14-2614:0.8115, C14-1125:0.8101, D14-1054:0.8096, S13-2067:0.8072
P12-1033 ==> Q13-1024:0.8611, E14-4035:0.8590, P11-2032:0.8471, W11-0320:0.8446, D13-1164:0.8437, P13-1003:0.8424, P11-1042:0.8366, P11-2081:0.8355, D14-1197:0.8289, N10-1033:0.8252
N10-1076 ==> D10-1079:0.8737, W09-0804:0.8077, D07-1116:0.7756, N10-1104:0.7730, W14-3602:0.7594, P10-2063:0.7551, W12-6203:0.7419, N09-1045:0.7405, N10-1105:0.7397, W10-3808:0.7325
W11-1815 ==> W11-1809:0.9907, W08-0601:0.8234, W12-4001:0.7983, W14-0618:0.7983, W11-1801:0.7963, W13-2025:0.7960, W13-2001:0.7948, W11-1816:0.7912, D07-1024:0.7869, W12-2426:0.7854
C10-2142 ==> P09-2019:0.9458, E06-1044:0.8881, P10-3013:0.8768, N10-1058:0.8656, P07-1028:0.8645, P10-1046:0.8162, E03-1034:0.8114, W06-2611:0.8072, W07-0606:0.8059, W04-0815:0.8048
P01-1008 ==> N01-1009:0.9035, N03-1024:0.8499, W02-1022:0.8437, N03-1003:0.8225, C02-1134:0.7417, W01-1608:0.6990, P12-3025:0.6732, P13-1119:0.6661, P02-1015:0.6558, W03-1611:0.6465
D12-1133 ==> W13-4912:0.8183, W14-6102:0.8167, W13-4904:0.8035, C14-1076:0.8033, D11-1109:0.8028, W14-6108:0.7937, W14-2616:0.7931, P13-2020:0.7880, P14-2107:0.7873, W10-1404:0.7845
W13-3521 ==> W14-4009:0.9710, E12-2003:0.9670, W14-0817:0.9658, W14-3617:0.9655, S12-1015:0.9640, W14-4806:0.9617, W12-0108:0.9593, W14-4209:0.9589, W14-3327:0.9548, L08-1110:0.9547
W06-3904 ==> P06-1052:0.9591, P03-1047:0.9489, W13-2131:0.9467, C10-2123:0.9448, P06-2032:0.9375, E03-1024:0.9373, P04-1032:0.9321, E06-2005:0.9299, W14-2202:0.9286, W08-2203:0.9268
W05-1510 ==> W05-1511:0.8563, P06-1130:0.8441, W08-1112:0.8148, W06-1661:0.8030, C08-1038:0.7867, E09-1093:0.7622, E09-1014:0.7471, D10-1087:0.7335, P05-1011:0.7312, P08-1022:0.7305
J01-1005 ==> C02-1088:0.9642, N03-2025:0.9519, P03-1043:0.9229, C04-1078:0.8859, I05-3006:0.8683, N09-2043:0.7899, W04-0846:0.7838, P06-2074:0.7773, W03-0808:0.7739, C04-1126:0.7710
J05-1003 ==> W03-1020:0.7959, W04-3223:0.7239, W08-0130:0.7162, H05-1100:0.7018, W03-1019:0.6749, N03-1014:0.6190, W06-3801:0.6182, W06-2913:0.6116, P11-1111:0.5977, P05-1024:0.5974
D14-1053 ==> D12-1122:0.7711, P12-1085:0.7703, W12-0413:0.7582, W14-3704:0.7385, L08-1088:0.7344, W14-2604:0.7328, S14-2148:0.7328, D10-1008:0.7318, W10-0203:0.7271, S14-2140:0.7267
W11-0320 ==> W10-2913:0.9170, P13-1003:0.8690, W09-1804:0.8634, W12-0215:0.8520, P12-1033:0.8446, W10-2917:0.8187, P14-1139:0.8181, D13-1164:0.7986, P11-2032:0.7951, W10-3813:0.7951
W01-0710 ==> P02-1016:0.9260, W04-3202:0.7025, J04-3001:0.6967, N03-1027:0.6898, W03-0408:0.6890, N03-1031:0.6855, N04-1012:0.6725, W04-3007:0.6512, N01-1023:0.6449, W06-1624:0.6295
W04-0847 ==> C02-1143:0.9474, W02-0813:0.9214, W05-0401:0.8968, C02-1097:0.8950, W07-2065:0.8907, P06-4010:0.8895, W03-1302:0.8760, I05-3012:0.8695, W03-1708:0.8487, I08-4006:0.8265
W03-1712 ==> P00-1033:0.7913, W13-1902:0.7815, P04-1012:0.7634, W02-1708:0.7379, W11-2037:0.7351, W11-1403:0.7338, N03-2033:0.7303, W12-4002:0.7269, W13-4018:0.7266, P99-1016:0.7231
D12-1018 ==> P10-3017:0.8384, N06-1007:0.8331, N06-1008:0.8069, C08-1001:0.7716, E03-1061:0.7716, W13-1408:0.7707, W10-0905:0.7704, C08-1107:0.7689, I08-1070:0.7685, I08-1065:0.7650
C08-1084 ==> S10-1065:0.8936, W07-2017:0.8798, P07-1027:0.8760, W09-2417:0.8657, W09-2603:0.8601, S10-1008:0.8477, W11-0908:0.8470, S10-1059:0.8246, P07-1025:0.8208, W14-2413:0.8205
W13-2323 ==> W11-0404:0.8898, W10-0718:0.7624, W11-0409:0.7552, P14-2045:0.7360, W12-0105:0.7336, P14-2065:0.7315, W14-4912:0.7295, W10-0731:0.7129, W10-0701:0.6999, W13-1005:0.6984
W04-0103 ==> P10-1104:0.9492, W07-1309:0.9371, W05-0502:0.9329, E06-2022:0.8695, P07-1118:0.8670, W10-1613:0.8644, H01-1070:0.8561, P00-1078:0.8477, W02-0607:0.8409, W07-1315:0.8407
W04-0305 ==> W06-3315:0.8698, E03-1002:0.8237, P01-1045:0.8218, W10-2004:0.8203, H01-1072:0.8119, E06-2025:0.8115, P06-2113:0.8080, W14-2002:0.7968, W14-1807:0.7779, W11-0612:0.7770
W11-2202 ==> P12-1072:0.8354, N10-1061:0.8056, P10-2054:0.8022, P12-1089:0.7773, W12-4510:0.7731, D10-1048:0.7684, D13-1185:0.7540, N13-1104:0.7244, P14-1073:0.7243, D09-1016:0.7195
W02-1817 ==> W03-1730:0.9577, I05-3026:0.8585, W03-1723:0.8470, E03-1081:0.7754, P05-2001:0.7490, I05-3022:0.7439, I05-3028:0.7341, P03-2039:0.7236, A00-2005:0.7202, C02-1055:0.7171
S14-2141 ==> P14-1114:0.8233, S13-1002:0.7851, W14-2402:0.7731, S14-2001:0.7482, W13-3209:0.7429, W14-1608:0.7399, D13-1198:0.7298, S14-2114:0.7261, P14-1009:0.7225, E14-4008:0.7223
L08-1210 ==> P08-3010:0.8852, W09-0306:0.8728, N13-1024:0.8525, P07-1115:0.8383, P05-1076:0.8075, C10-2018:0.7935, I05-6010:0.7931, W07-0605:0.7879, L08-1099:0.7784, P06-2052:0.7565
W09-2905 ==> L08-1259:0.8968, L08-1257:0.8772, W10-3704:0.8452, W09-2904:0.8432, W09-2901:0.8154, W09-2906:0.8057, L08-1155:0.7939, W06-1201:0.7860, W13-1008:0.7798, E06-2014:0.7793
P07-1084 ==> W04-1814:0.9637, I08-1013:0.9629, E06-1029:0.9553, C02-2020:0.9464, W11-1206:0.9252, I05-2020:0.8972, I05-1062:0.8912, P03-2020:0.8754, I05-1087:0.8657, P13-2133:0.8632
S12-1073 ==> W14-1208:0.8623, J14-2001:0.8610, C14-1076:0.8565, E14-4030:0.8534, C10-1093:0.8400, W09-1216:0.8382, P11-2003:0.8330, W11-0906:0.8276, W14-0803:0.8229, W14-6109:0.8188
W14-4103 ==> P12-1094:0.9463, W11-0609:0.9436, W14-2501:0.9427, W14-4324:0.9426, N09-1072:0.8133, W14-2007:0.8092, W11-2032:0.7694, C14-1044:0.7603, P08-1020:0.7582, P11-1078:0.7581
P09-1059 ==> P12-1025:0.8459, E14-1018:0.8198, C14-2004:0.8152, D12-1038:0.8035, P14-6008:0.8032, C14-1051:0.8019, D13-1062:0.8001, P14-2033:0.7908, P11-1139:0.7905, P12-1026:0.7865
W04-2413 ==> W04-2412:0.8898, W04-2418:0.8531, W04-2414:0.8523, W04-2415:0.8466, W04-2420:0.8444, W04-2422:0.8286, W04-2419:0.8233, W04-0817:0.8215, W04-2416:0.8081, W04-2417:0.8064
W13-1410 ==> D13-1113:0.6630, W12-2508:0.6552, P14-1147:0.6413, D12-1139:0.6259, D13-1190:0.6231, D13-1181:0.6178, P09-1008:0.5968, W07-1506:0.5950, P10-2008:0.5923, C08-1065:0.5919
P12-2019 ==> W07-0604:0.8929, C14-1203:0.8895, W13-1701:0.8258, W11-1411:0.7945, N09-1006:0.7870, P05-1025:0.7809, W11-1405:0.7769, W11-0506:0.7755, W10-4202:0.7734, W13-1914:0.7723
P03-2030 ==> N03-2022:0.9772, I05-2036:0.7977, W06-0301:0.7746, C04-1018:0.7741, W04-2008:0.7697, N04-3006:0.7480, W05-1527:0.7466, N10-3009:0.7379, W14-3704:0.7289, L08-1088:0.7289
W05-0703 ==> J00-1006:0.9894, P06-1086:0.9576, W07-0801:0.9528, P07-1117:0.9504, W09-0803:0.9312, P00-1025:0.9300, W01-0711:0.9283, J01-1003:0.9258, W09-0802:0.9236, W14-2805:0.9206
N04-1016 ==> W05-0603:0.9107, W04-2010:0.8302, P03-1059:0.8248, N09-2018:0.8229, H05-1105:0.8077, C10-1137:0.8004, H05-1015:0.7998, I05-2018:0.7992, W03-1010:0.7976, W09-2409:0.7810
W06-1661 ==> E09-1014:0.8928, P07-1042:0.8840, J12-4006:0.8124, W05-1510:0.8030, W08-1112:0.7992, D10-1087:0.7964, P08-3002:0.7914, P08-1022:0.7793, E09-2001:0.7786, W08-1703:0.7758
W14-3626 ==> P14-2078:0.9614, W14-6202:0.9534, E14-4021:0.9437, D11-1072:0.9069, C14-1196:0.8589, P13-4023:0.8409, P14-2013:0.8381, E09-1007:0.8187, P10-1097:0.8089, P13-2006:0.8001
P05-1029 ==> W03-2103:0.9969, C02-1135:0.9952, W03-2106:0.9879, W02-0222:0.9870, W00-1109:0.9853, W01-1616:0.9839, P00-1018:0.9831, W00-0302:0.9811, W02-0203:0.9794, P01-1031:0.9667
I08-2132 ==> H05-2004:0.8798, D09-1153:0.8771, C08-1105:0.8590, W06-1622:0.8343, W05-0632:0.8332, W05-0627:0.8283, W05-0622:0.8276, W07-1518:0.8212, D08-1034:0.8182, L08-1231:0.8060
S14-2110 ==> S10-1002:0.8061, S10-1054:0.7852, S13-2032:0.7645, P11-2055:0.7615, S10-1053:0.7542, S10-1028:0.7499, W11-2203:0.7476, W09-2412:0.7409, P13-2053:0.7393, D09-1109:0.7277
